year,venue,total_papers,gpu_papers,strict_gpu_papers,gpu_share_pct,strict_share_pct,gpu_missing_quantity_papers,missing_qty_within_gpu_pct
2020,ACL,778,97,32,12.467866323907455,4.113110539845758,65,67.0103092783505
2020,EMNLP,751,364,192,48.46870838881491,25.5659121171771,172,47.25274725274725
2021,ACL,571,244,150,42.73204903677758,26.26970227670753,94,38.52459016393443
2021,EMNLP,847,402,261,47.4616292798111,30.814639905548997,141,35.07462686567165
2021,NAACL,477,95,61,19.91614255765199,12.78825995807128,34,35.78947368421053
2022,ACL,603,264,196,43.78109452736319,32.50414593698176,68,25.757575757575758
2022,EMNLP,827,502,368,60.70133010882709,44.49818621523579,134,26.693227091633464
2022,NAACL,442,110,84,24.8868778280543,19.004524886877828,26,23.636363636363637
2023,ACL,911,585,454,64.21514818880351,49.83534577387486,131,22.393162393162395
2023,EMNLP,1047,493,397,47.08691499522445,37.917860553963706,96,19.47261663286004
2024,ACL,864,500,429,57.870370370370374,49.65277777777778,71,14.2
2024,EMNLP,1268,768,595,60.56782334384858,46.92429022082019,173,22.526041666666664
2024,NAACL,487,172,136,35.318275154004105,27.92607802874743,36,20.930232558139537
2025,ACL,1602,986,871,61.54806491885143,54.36953807740325,115,11.663286004056795
2025,EMNLP,1809,1059,912,58.540630182421225,50.41459369817579,147,13.881019830028329
2025,NAACL,637,259,222,40.65934065934066,34.850863422291994,37,14.285714285714285
