year,gpu_count_bin,papers,gpu_papers_in_year,share_pct
2020,Unspecified,81,461,17.57
2020,1,194,461,42.082
2020,2,34,461,7.375
2020,3-4,70,461,15.184
2020,5-8,54,461,11.714
2020,9-16,16,461,3.471
2020,17-32,4,461,0.868
2020,33-64,4,461,0.868
2020,65+,4,461,0.868
2021,Unspecified,128,741,17.274
2021,1,310,741,41.835
2021,2,67,741,9.042
2021,3-4,100,741,13.495
2021,5-8,89,741,12.011
2021,9-16,29,741,3.914
2021,17-32,6,741,0.81
2021,33-64,6,741,0.81
2021,65+,6,741,0.81
2022,Unspecified,153,876,17.466
2022,1,328,876,37.443
2022,2,74,876,8.447
2022,3-4,96,876,10.959
2022,5-8,147,876,16.781
2022,9-16,43,876,4.909
2022,17-32,19,876,2.169
2022,33-64,9,876,1.027
2022,65+,7,876,0.799
2023,Unspecified,178,1078,16.512
2023,1,420,1078,38.961
2023,2,95,1078,8.813
2023,3-4,108,1078,10.019
2023,5-8,179,1078,16.605
2023,9-16,58,1078,5.38
2023,17-32,17,1078,1.577
2023,33-64,12,1078,1.113
2023,65+,11,1078,1.02
2024,Unspecified,261,1440,18.125
2024,1,369,1440,25.625
2024,2,107,1440,7.431
2024,3-4,220,1440,15.278
2024,5-8,318,1440,22.083
2024,9-16,90,1440,6.25
2024,17-32,37,1440,2.569
2024,33-64,24,1440,1.667
2024,65+,14,1440,0.972
2025,Unspecified,273,2304,11.849
2025,1,577,2304,25.043
2025,2,249,2304,10.807
2025,3-4,369,2304,16.016
2025,5-8,567,2304,24.609
2025,9-16,169,2304,7.335
2025,17-32,47,2304,2.04
2025,33-64,29,2304,1.259
2025,65+,24,2304,1.042
