year,family_group,papers,gpu_papers,paper_share_pct
2020,Datacenter A-series,25,461,5.422993492407809
2020,GeForce GTX,73,461,15.835140997830802
2020,GeForce RTX,66,461,14.316702819956616
2020,Quadro,15,461,3.2537960954446854
2020,RTX Workstation,1,461,0.21691973969631237
2020,TITAN,66,461,14.316702819956616
2020,Tesla,215,461,46.63774403470716
2021,Datacenter A-series,57,741,7.6923076923076925
2021,GeForce GTX,65,741,8.771929824561404
2021,GeForce RTX,159,741,21.45748987854251
2021,Other,1,741,0.1349527665317139
2021,Quadro,44,741,5.937921727395412
2021,RTX Workstation,3,741,0.4048582995951417
2021,TITAN,80,741,10.796221322537113
2021,Tesla,332,741,44.80431848852901
2022,Datacenter A-series,177,876,20.205479452054796
2022,GeForce GTX,36,876,4.109589041095891
2022,GeForce RTX,163,876,18.60730593607306
2022,Quadro,61,876,6.963470319634703
2022,RTX Workstation,48,876,5.47945205479452
2022,TITAN,51,876,5.821917808219178
2022,Tesla,340,876,38.81278538812786
2023,Datacenter A-series,399,1078,37.01298701298701
2023,Datacenter H-series,2,1078,0.18552875695732837
2023,GeForce GTX,17,1078,1.5769944341372912
2023,GeForce RTX,187,1078,17.346938775510203
2023,Other,4,1078,0.37105751391465674
2023,Quadro,54,1078,5.009276437847866
2023,RTX Workstation,112,1078,10.38961038961039
2023,TITAN,28,1078,2.5974025974025974
2023,Tesla,275,1078,25.510204081632654
2024,Datacenter A-series,848,1440,58.888888888888886
2024,Datacenter H-series,40,1440,2.7777777777777777
2024,Datacenter L-series,11,1440,0.7638888888888888
2024,GeForce GTX,7,1440,0.4861111111111111
2024,GeForce RTX,166,1440,11.527777777777779
2024,Other,5,1440,0.3472222222222222
2024,Quadro,25,1440,1.7361111111111112
2024,RTX Workstation,181,1440,12.569444444444445
2024,TITAN,6,1440,0.4166666666666667
2024,Tesla,151,1440,10.48611111111111
2025,Datacenter A-series,1330,2304,57.72569444444444
2025,Datacenter H-series,251,2304,10.894097222222221
2025,Datacenter L-series,58,2304,2.517361111111111
2025,GeForce GTX,3,2304,0.13020833333333334
2025,GeForce RTX,220,2304,9.54861111111111
2025,Other,39,2304,1.6927083333333333
2025,Quadro,24,2304,1.0416666666666667
2025,RTX Workstation,273,2304,11.848958333333334
2025,TITAN,6,2304,0.2604166666666667
2025,Tesla,100,2304,4.340277777777778
