paper_id,year,venue,n_gpu_rows,n_memory_known_rows,n_reported_qty_rows,has_missing_gpu_qty,has_missing_memory,paper_max_gpu_memory_gb,paper_total_vram_gb_filled,paper_total_vram_gb_reported_qty,known_gpu_count_filled,paper_quantity_weighted_memory_gb,paper_memory_bin,paper_main_gpu_name,paper_main_gpu_family,paper_main_gpu_generation
2020.acl-main.119,2020,ACL,1,1,1,False,False,8.0,8.0,8.0,1.0,8.0,<=12 GB,NVIDIA Tesla P4,Tesla,Pascal
2020.acl-main.121,2020,ACL,1,1,1,False,False,12.0,12.0,12.0,1.0,12.0,<=12 GB,NVIDIA TITAN Xp,TITAN,Pascal
2020.acl-main.125,2020,ACL,1,1,1,False,False,24.0,96.0,96.0,4.0,24.0,24 GB,NVIDIA P40,Tesla,Pascal
2020.acl-main.129,2020,ACL,1,1,1,False,False,8.0,8.0,8.0,1.0,8.0,<=12 GB,NVIDIA GeForce RTX 2080,GeForce RTX,Turing
2020.acl-main.133,2020,ACL,1,1,1,False,False,16.0,16.0,16.0,1.0,16.0,16 GB,NVIDIA Tesla P100 PCIe 16GB,Tesla,Pascal
2020.acl-main.144,2020,ACL,1,1,1,False,False,16.0,16.0,16.0,1.0,16.0,16 GB,NVIDIA Tesla P100 PCIe 16GB,Tesla,Pascal
2020.acl-main.145,2020,ACL,1,1,1,False,False,8.0,32.0,32.0,4.0,8.0,<=12 GB,NVIDIA GeForce GTX 1080,GeForce GTX,Pascal
2020.acl-main.149,2020,ACL,1,1,1,False,False,16.0,256.0,256.0,16.0,16.0,16 GB,NVIDIA Tesla P100 PCIe 16GB,Tesla,Pascal
2020.acl-main.15,2020,ACL,1,1,1,False,False,11.0,22.0,22.0,2.0,11.0,<=12 GB,NVIDIA GeForce RTX 2080 Ti,GeForce RTX,Turing
2020.acl-main.156,2020,ACL,1,1,1,False,False,11.0,44.0,44.0,4.0,11.0,<=12 GB,NVIDIA GeForce GTX 1080 Ti,GeForce GTX,Pascal
2020.acl-main.167,2020,ACL,1,1,1,False,False,16.0,16.0,16.0,1.0,16.0,16 GB,NVIDIA Tesla V100 PCIe 16 GB,Tesla,Volta
2020.acl-main.171,2020,ACL,1,1,1,False,False,16.0,64.0,64.0,4.0,16.0,16 GB,NVIDIA Tesla V100 PCIe 16 GB,Tesla,Volta
2020.acl-main.200,2020,ACL,1,1,0,True,False,16.0,16.0,,1.0,16.0,16 GB,NVIDIA P100,Tesla,Pascal
2020.acl-main.202,2020,ACL,1,1,1,False,False,16.0,16.0,16.0,1.0,16.0,16 GB,NVIDIA Tesla P100 PCIe 16GB,Tesla,Pascal
2020.acl-main.204,2020,ACL,1,1,1,False,False,16.0,16.0,16.0,1.0,16.0,16 GB,NVIDIA Tesla P100 PCIe 16GB,Tesla,Pascal
2020.acl-main.207,2020,ACL,1,1,1,False,False,12.0,12.0,12.0,1.0,12.0,<=12 GB,NVIDIA Titan V,TITAN,Volta
2020.acl-main.21,2020,ACL,1,1,1,False,False,11.0,22.0,22.0,2.0,11.0,<=12 GB,NVIDIA GeForce RTX 2080 Ti,GeForce RTX,Turing
2020.acl-main.215,2020,ACL,1,1,1,False,False,11.0,11.0,11.0,1.0,11.0,<=12 GB,NVIDIA GeForce GTX 1080 Ti,GeForce GTX,Pascal
2020.acl-main.220,2020,ACL,1,1,1,False,False,12.0,96.0,96.0,8.0,12.0,<=12 GB,NVIDIA GeForce GTX TITAN X,TITAN,Maxwell
2020.acl-main.222,2020,ACL,1,1,1,False,False,16.0,1024.0,1024.0,64.0,16.0,16 GB,NVIDIA Tesla V100 PCIe 16 GB,Tesla,Volta
2020.acl-main.227,2020,ACL,1,1,1,False,False,16.0,16.0,16.0,1.0,16.0,16 GB,NVIDIA Tesla P100 PCIe 16GB,Tesla,Pascal
