year,venue,gpu_papers,papers_with_memory,median_max_gpu_memory_gb,p75_max_gpu_memory_gb,p90_max_gpu_memory_gb,median_total_vram_gb_filled,p90_total_vram_gb_filled
2020,ACL,97,97,16.0,16.0,24.0,16.0,140.8
2020,EMNLP,364,364,16.0,24.0,32.0,22.0,187.2
2021,ACL,244,244,16.0,24.0,32.0,24.0,128.0
2021,EMNLP,402,402,16.0,32.0,40.0,32.0,192.0
2021,NAACL,95,95,16.0,16.0,32.0,32.0,128.0
2022,ACL,264,264,24.0,32.0,40.0,40.0,300.8
2022,EMNLP,502,502,24.0,40.0,48.0,48.0,320.0
2022,NAACL,110,110,16.0,38.0,48.0,48.0,256.0
2023,ACL,585,584,32.0,40.0,48.0,48.0,320.0
2023,EMNLP,493,493,40.0,48.0,80.0,48.0,384.0
2024,ACL,500,500,40.0,80.0,80.0,120.0,640.0
2024,EMNLP,768,767,40.0,48.0,80.0,96.0,640.0
2024,NAACL,172,172,40.0,48.0,80.0,64.0,476.8
2025,ACL,986,983,48.0,80.0,80.0,160.0,787.2
2025,EMNLP,1059,1051,48.0,80.0,80.0,160.0,640.0
2025,NAACL,259,259,48.0,80.0,80.0,91.0,640.0
