country_code,full_count_n,full_count_top20_n,median_compute_tflops,p80_compute_tflops,median_log10_compute,p80_log10_compute,top20_compute_share,top20_compute_intensity,full_count_n_rank,top20_compute_share_rank
CN,2915,887,330.0,2496.0,2.5185139398778875,3.397244581010386,0.30428816466552316,1.5214408233276158,1,11
CA,253,69,312.0,2496.0,2.494154594018443,3.397244581010386,0.2727272727272727,1.3636363636363635,7,13
US,2884,767,312.0,1560.0,2.494154594018443,3.1931245983544616,0.2659500693481276,1.329750346740638,2,14
JP,177,47,312.0,2496.0,2.494154594018443,3.397244581010386,0.2655367231638418,1.327683615819209,9,15
AE,95,24,568.0,2496.0,2.754348335711019,3.397244581010386,0.25263157894736843,1.263157894736842,16,16
KR,412,90,312.0,1248.0,2.494154594018443,3.0962145853464054,0.21844660194174756,1.0922330097087378,4,20
SG,346,75,312.0,1512.0,2.494154594018443,3.1795517911651876,0.21676300578034682,1.083815028901734,6,21
AU,173,36,312.0,1248.0,2.494154594018443,3.0962145853464054,0.20809248554913296,1.0404624277456647,10,22
FR,104,21,312.0,1248.0,2.494154594018443,3.0962145853464054,0.20192307692307693,1.0096153846153846,14,23
IL,109,20,312.0,896.0,2.494154594018443,2.9523080096621253,0.1834862385321101,0.9174311926605505,13,27
ES,55,10,312.0,1041.6000000000008,2.494154594018443,3.0157510727473213,0.18181818181818182,0.9090909090909091,18,28
CH,144,26,312.0,1248.0,2.494154594018443,3.0962145853464054,0.18055555555555555,0.9027777777777777,11,29
GB,534,96,312.0,1248.0,2.494154594018443,3.0962145853464054,0.1797752808988764,0.898876404494382,3,30
DE,380,56,312.0,955.8399999999998,2.494154594018443,2.9803764702414557,0.14736842105263157,0.7368421052631577,5,34
IT,117,16,299.4,724.0,2.4762517960070336,2.859738566197147,0.13675213675213677,0.6837606837606838,12,36
IN,187,25,312.0,330.0,2.494154594018443,2.5185139398778875,0.13368983957219252,0.6684491978609626,8,37
NL,98,13,312.0,684.0000000000009,2.494154594018443,2.8339169755912583,0.1326530612244898,0.6632653061224489,15,39
DK,74,9,312.0,809.1200000000007,2.494154594018443,2.9066346956738487,0.12162162162162163,0.6081081081081081,17,43
