primary_topic,topic_short,year,papers,median_tflops,q25_tflops,q75_tflops,p90_tflops,top10_papers,iqr_tflops,top10_share_pct,log10_median_tflops
Clinical and Biomedical Applications,Clinical/biomedical,2020,7,112.0,27.751,113.8,247.48000000000013,0,86.04899999999999,0.0,2.0492180226701815
Clinical and Biomedical Applications,Clinical/biomedical,2021,6,78.68,21.3765,112.0,121.25,0,90.6235,0.0,1.8958643512472992
Clinical and Biomedical Applications,Clinical/biomedical,2022,9,112.0,107.0,227.6,1497.6000000000008,1,120.6,11.11111111111111,2.0492180226701815
Clinical and Biomedical Applications,Clinical/biomedical,2023,17,238.2,112.0,624.0,1747.2000000000005,2,512.0,11.76470588235294,2.3769417571467586
Clinical and Biomedical Applications,Clinical/biomedical,2024,32,312.0,117.32499999999999,624.0,1248.0,3,506.675,9.375,2.494154594018443
Clinical and Biomedical Applications,Clinical/biomedical,2025,56,690.0,312.0,2496.0,2760.0,17,2184.0,30.357142857142854,2.838849090737255
Computational Social Science and Cultural Analytics,Computational social sci.,2020,17,14.9,11.34,112.0,167.90000000000003,0,100.66,0.0,1.173186268412274
Computational Social Science and Cultural Analytics,Computational social sci.,2021,27,112.0,11.34,112.9,142.30000000000007,0,101.56,0.0,2.0492180226701815
Computational Social Science and Cultural Analytics,Computational social sci.,2022,23,112.0,80.86,173.6,779.2000000000004,0,92.74,0.0,2.0492180226701815
Computational Social Science and Cultural Analytics,Computational social sci.,2023,48,148.35,112.0,312.0,483.4800000000001,0,200.0,0.0,2.1712875506528606
Computational Social Science and Cultural Analytics,Computational social sci.,2024,54,312.0,149.7,589.0999999999999,2407.2000000000007,6,439.3999999999999,11.11111111111111,2.494154594018443
Computational Social Science and Cultural Analytics,Computational social sci.,2025,101,336.0,149.7,1248.0,2496.0,20,1098.3,19.801980198019802,2.526339277389844
Dialogue and Interactive Systems,Dialogue systems,2020,39,112.0,9.526,336.0,1248.0,8,326.474,20.51282051282051,2.0492180226701815
Dialogue and Interactive Systems,Dialogue systems,2021,62,112.0,91.278,212.6,454.47999999999996,6,121.32199999999999,9.67741935483871,2.0492180226701815
Dialogue and Interactive Systems,Dialogue systems,2022,53,112.0,110.0,312.0,1137.280000000001,5,202.0,9.433962264150944,2.0492180226701815
Dialogue and Interactive Systems,Dialogue systems,2023,97,238.2,112.0,896.0,2496.0,16,784.0,16.49484536082474,2.3769417571467586
Dialogue and Interactive Systems,Dialogue systems,2024,63,448.0,238.2,1248.0,2496.0,12,1009.8,19.047619047619047,2.651278013998144
Dialogue and Interactive Systems,Dialogue systems,2025,81,756.0,312.0,2494.4,2496.0,19,2182.4,23.456790123456788,2.8785217955012063
Discourse and Pragmatics,Discourse/pragmatics,2020,10,112.0,14.385,262.45,694.3999999999999,1,248.065,10.0,2.0492180226701815
Discourse and Pragmatics,Discourse/pragmatics,2021,11,110.0,52.050000000000004,112.0,113.8,0,59.949999999999996,0.0,2.041392685158225
Discourse and Pragmatics,Discourse/pragmatics,2022,13,112.0,112.0,250.0,301.8,0,138.0,0.0,2.0492180226701815
Discourse and Pragmatics,Discourse/pragmatics,2023,16,111.0,62.123,312.0,848.0,1,249.877,6.25,2.0453229787866576
Discourse and Pragmatics,Discourse/pragmatics,2024,12,312.0,142.52499999999998,330.0,461.76000000000005,0,187.47500000000002,0.0,2.494154594018443
Discourse and Pragmatics,Discourse/pragmatics,2025,13,724.0,330.0,1512.0,2918.4000000000005,3,1182.0,23.076923076923077,2.859738566197147
Efficient Methods for NLP,Efficient methods,2020,17,112.0,12.15,112.0,481.92,1,99.85,5.88235294117647,2.0492180226701815
Efficient Methods for NLP,Efficient methods,2021,36,122.1,112.0,899.6,2496.0,12,787.6,33.33333333333333,2.0867156639448825
Efficient Methods for NLP,Efficient methods,2022,57,312.0,112.0,896.0,2496.0,7,784.0,12.280701754385964,2.494154594018443
Efficient Methods for NLP,Efficient methods,2023,72,298.0,112.0,896.0,2496.0,10,784.0,13.88888888888889,2.4742162640762553
Efficient Methods for NLP,Efficient methods,2024,115,357.3,312.0,1560.0,2496.0,26,1248.0,22.608695652173914,2.55303301620244
Efficient Methods for NLP,Efficient methods,2025,247,624.0,312.0,2494.4,4992.0,61,2182.4,24.696356275303643,2.795184589682424
"Ethics, Bias, and Fairness",Ethics/bias/fairness,2020,6,63.45,12.23,113.35,168.9,0,101.11999999999999,0.0,1.8024316264307236
"Ethics, Bias, and Fairness",Ethics/bias/fairness,2021,12,113.8,113.8,227.6,432.44000000000005,1,113.8,8.333333333333332,2.056142262059052
"Ethics, Bias, and Fairness",Ethics/bias/fairness,2022,24,112.0,84.65,177.5,401.5999999999999,0,92.85,0.0,2.0492180226701815
"Ethics, Bias, and Fairness",Ethics/bias/fairness,2023,31,130.5,112.0,312.0,2395.2,3,200.0,9.67741935483871,2.1156105116742996
"Ethics, Bias, and Fairness",Ethics/bias/fairness,2024,84,476.4,205.0,1404.0,2496.0,18,1199.0,21.428571428571427,2.67797175281074
"Ethics, Bias, and Fairness",Ethics/bias/fairness,2025,140,462.2,312.0,1582.0,2496.0,32,1270.0,22.857142857142858,2.6648299411430907
Generation,Generation,2020,42,112.9,16.845,403.5,1039.6,6,386.655,14.285714285714285,2.052693941924968
Generation,Generation,2021,47,112.0,48.6,113.8,358.39999999999986,1,65.19999999999999,2.127659574468085,2.0492180226701815
Generation,Generation,2022,54,142.0,112.0,399.0,2496.0,7,287.0,12.962962962962962,2.1522883443830563
Generation,Generation,2023,56,312.0,119.1,492.0,2496.0,7,372.9,12.5,2.494154594018443
Generation,Generation,2024,76,465.79999999999995,312.0,1248.0,2496.0,14,936.0,18.421052631578945,2.668199484198662
Generation,Generation,2025,121,660.0,312.0,2496.0,2496.0,36,2184.0,29.75206611570248,2.8195439355418688
Human-Centered NLP and Human-AI Interaction,Human-centered NLP,2020,3,113.8,113.8,680.9,1021.1600000000001,1,567.1,33.33333333333333,2.056142262059052
