sample,outcome,family,moderator,moderator_label,nobs,beta3_interaction,se_beta3,p_beta3,ci_low_beta3,ci_high_beta3,interaction_term,formula,q_beta3_fdr_bh
gpu_lb1_2020_2023,log1p_cites,ols,is_language_modeling,Language Modeling,3155,0.09691176154415816,0.07078497216125604,0.17096777036978195,-0.04182423453857402,0.23564775762689033,log10_max_compute_c:is_language_modeling,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.2393548785176947
gpu_lb1_2020_2023,log1p_cites,ols,is_efficient_methods,Efficient Methods for NLP,3155,-0.14767088711864157,0.08134017223435865,0.06945125042000042,-0.3070946951942694,0.011752920956986268,log10_max_compute_c:is_efficient_methods,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.14629462550087266
gpu_lb1_2020_2023,log1p_cites,ols,is_multimodality,Multimodality and Language Grounding,3155,-0.14819007496664136,0.0826994872849827,0.07314731275043633,-0.3102780915851356,0.013897941651852874,log10_max_compute_c:is_multimodality,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.14629462550087266
gpu_lb1_2020_2023,log1p_cites,ols,is_generation,Generation,3155,0.04176330990952735,0.07200989840887775,0.5619373854722983,-0.09937349750226121,0.1829001173213159,log10_max_compute_c:is_generation,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.6051633382009366
gpu_lb1_2020_2023,log1p_cites,ols,is_dialogue_interactive,Dialogue and Interactive Systems,3155,-0.06326602087909168,0.07612751136423103,0.4059435098733556,-0.21247320138564818,0.0859411596274648,log10_max_compute_c:is_dialogue_interactive,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.5050424942226919
gpu_lb1_2020_2023,log1p_cites,ols,is_llm_agents,LLM agents,3155,1.2311430804638357,0.31206723770350164,7.975962054643425e-05,0.6195025338100725,1.842783627117599,log10_max_compute_c:is_llm_agents,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.0003722115625500265
gpu_lb1_2020_2023,log1p_cites,ols,is_information_extraction,Information Extraction,3155,-0.002341851190184041,0.08467735406347963,0.977936382618351,-0.16830641546075054,0.16362271308038245,log10_max_compute_c:is_information_extraction,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.977936382618351
gpu_lb1_2020_2023,log1p_cites,ols,is_machine_translation,Machine Translation,3155,-0.28688655237653926,0.08637389279116592,0.0008955107729291233,-0.45617627145174827,-0.11759683330133025,log10_max_compute_c:is_machine_translation,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.003134287705251932
gpu_lb1_2020_2023,log1p_cites,ols,has_company,Company participation,3155,0.2017916509985213,0.10190065124184568,0.04767226290819833,0.002070044563327045,0.4015132574337156,log10_max_compute_c:has_company,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.13348233614295532
gpu_lb1_2020_2023,log1p_cites,ols,has_industry_academia,Industry-academia collaboration,3155,-0.13314216809980942,0.09278604324155139,0.15130492325982228,-0.3149994711212262,0.048715134921607395,log10_max_compute_c:has_industry_academia,log1p_cites ~ log10_max_compute_c + has_company + has_industry_academia + is_cross_sector + is_multi_institution + is_international_collab + has_frontier_gpu + log10_max_compute_c:is_language_modeling + log10_max_compute_c:is_efficient_methods + log10_max_compute_c:is_multimodality + log10_max_compute_c:is_generation + log10_max_compute_c:is_dialogue_interactive + log10_max_compute_c:is_llm_agents + log10_max_compute_c:is_information_extraction + log10_max_compute_c:is_machine_translation + log10_max_compute_c:has_company + log10_max_compute_c:has_industry_academia + log10_max_compute_c:is_cross_sector + log10_max_compute_c:is_multi_institution + log10_max_compute_c:is_international_collab + log10_max_compute_c:has_frontier_gpu + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),0.23536321395972354
