outcome_model,model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x
GPU-only OLS: log1p citations,ols_1,1,log1p_cites ~ log10_max_compute + C(year_venue),Year x Venue FE,log1p_cites,ols,log10_max_compute,group,HC3,3155,10.0,0.21831382685440928,0.0337669544041867,1.010913727795726e-10,0.1521318123545972,0.28449584135422135,0.14718726162802676,0.14447475291819223,2.3623354474750338,0.2439773998818464,
GPU-only OLS: log1p citations,ols_2,2,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,log1p_cites,ols,log10_max_compute,group,HC3,3155,38.0,0.2134225118645113,0.03407161171653462,3.7537134341080113e-10,0.14664338000487054,0.28020164372415207,0.18628304876114388,0.17635967130701147,2.3623354474750338,0.23790757140192165,
GPU-only OLS: log1p citations,ols_3,3,log1p_cites ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,log1p_cites,ols,log10_max_compute,group,HC3,3155,12.0,0.18083740454939987,0.03397870668409585,1.0258728175481188e-07,0.1142403632073216,0.24743444589147812,0.16463745610632663,0.16144701991067922,2.3623354474750338,0.19822033827767704,
GPU-only OLS: log1p citations,ols_4,4,log1p_cites ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,log1p_cites,ols,log10_max_compute,group,HC3,3155,12.0,0.21098582344149514,0.0339377056845954,5.072153838257971e-10,0.1444691425817679,0.27750250430122236,0.1506400022790192,0.14739610667983016,2.3623354474750338,0.23489484837823693,
GPU-only OLS: log1p citations,ols_5,5,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,log1p_cites,ols,log10_max_compute,group,HC3,3155,40.0,0.17918793473858213,0.03431776247035505,1.7754282313866693e-07,0.11192635626668593,0.24644951321047834,0.20118312245779457,0.19092214779443928,2.3623354474750338,0.19624553913650766,
GPU-only OLS: log1p citations,ols_6,6,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,log1p_cites,ols,log10_max_compute,group,HC3,3155,40.0,0.20713154770057196,0.03419692170925777,1.3866360824030604e-09,0.14010681276829084,0.2741562826328531,0.18939789500845738,0.178985536562837,2.3623354474750338,0.2301443838025805,
GPU-only OLS: log1p citations,ols_7,7,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,log1p_cites,ols,log10_max_compute,group,HC3,3155,42.0,0.17838179901514212,0.034375853935616145,2.1124506837446603e-07,0.111006363363525,0.24575723466675925,0.20176366795057954,0.19099055550004096,2.3623354474750338,0.19528159146193413,
Strict raw GPU OLS: log1p citations,ols_1,1,log1p_cites ~ log10_max_compute + C(year_venue),Year x Venue FE,log1p_cites,ols,log10_max_compute,group,HC3,2194,10.0,0.21038558957950543,0.047430524228921245,9.179142968231725e-06,0.11742347032296536,0.3033477088360455,0.1535009518555659,0.14962326496530287,2.3537808184700504,0.23415384508412562,
Strict raw GPU OLS: log1p citations,ols_2,2,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,log1p_cites,ols,log10_max_compute,group,HC3,2194,38.0,0.21304820719079082,0.04819345511395668,9.838734783550836e-06,0.11859077087688803,0.3075056435046936,0.19639035864702503,0.1822199798203833,2.3537808184700504,0.2374443035193876,
Strict raw GPU OLS: log1p citations,ols_3,3,log1p_cites ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,log1p_cites,ols,log10_max_compute,group,HC3,2194,12.0,0.16525715509236408,0.04798326267172972,0.0005730520757479728,0.07121168839504866,0.2593026217896795,0.17013854656440908,0.16557259633917887,2.3537808184700504,0.17969644465700063,
