org_id,year,org_name,org_type,org_country_code,paper_count,collaborative_paper_count,international_collab_paper_count,industry_academia_paper_count,cross_sector_paper_count,government_academia_paper_count,unique_partner_org_count
EXT:0142C5B65354,2025,Universit茅 catholique de Louvain,other,BE,1,1,0,0,1,0,2
EXT:0177DE5BD1BF,2023,L 3 i La Rochelle,other,FR,1,1,0,0,1,0,1
EXT:017E4EA65528,2025,SAP SE,other,DE,1,0,0,0,0,0,0
EXT:01DC2D68DC44,2023,Triadvisor,other,,1,1,0,0,1,0,3
EXT:022F237A6E07,2025,Hokudai,other,,1,1,1,1,1,1,12
EXT:0236F00FCA7B,2025,Squirrel AI,company,,1,1,1,1,1,0,6
EXT:025458618C5D,2025,Army Research Lab,government,,1,1,0,0,1,1,2
EXT:030F0622A2DD,2023,Data Grand Inc.,company,CN,1,1,0,1,1,0,1
EXT:0323E81CE182,2025,Hofstra Northwell School of Medicine,education,US,1,1,0,0,1,0,3
EXT:03503DDFEC23,2025,Martian,other,,1,1,1,1,1,0,4
EXT:0376456A7CFE,2025,ETH AI Center,facility,CH,2,2,2,0,2,0,2
EXT:03835227271C,2025,Joint Laboratory of Tourism Big Data in Shanxi Province,facility,CN,1,1,0,0,1,1,2
EXT:038745757AF5,2025,Autonomous University of Madrid,education,,1,1,0,1,1,0,2
EXT:039BBED7FA47,2025,Beijing University of Post and Telecommunication,education,,1,1,0,0,0,0,1
EXT:03B44DB7365C,2025,Channel Corporation,company,,1,1,0,1,1,0,1
EXT:042DE9ECB8EE,2025,MTS AI,company,,1,1,1,1,1,0,5
EXT:04A59D4AE2F2,2024,Ghana NLP,other,,1,1,1,1,1,1,35
EXT:04F75F2DB05A,2024,GE Healthcare,company,US,1,1,1,1,1,0,5
EXT:04F75F2DB05A,2025,GE Healthcare,company,US,1,1,0,1,1,0,1
EXT:0543E0A5D51E,2021,Southeast Academy of Information Technology,education,CN,1,1,0,0,0,0,1
EXT:0543E0A5D51E,2023,Southeast Academy of Information Technology,education,CN,1,1,0,0,0,0,1
EXT:0543E0A5D51E,2024,Southeast Academy of Information Technology,education,CN,1,1,1,0,1,0,4
EXT:05856FF4F6FF,2025,Roblox,other,,1,1,1,0,1,0,2
EXT:05A928D7C268,2025,Key Laboratory of High Confidence Software Technologies (PKU),company,CN,1,1,1,1,1,0,2
EXT:05B166FF9BE6,2022,Human Language Technology Center of Excellence,facility,US,1,1,0,0,1,0,2
EXT:05B17B378380,2025,"Du Xiaoman Technology (Beijing) Co., Ltd.",company,CN,1,1,0,1,1,0,2
EXT:05E4423407C3,2022,Masakhane,other,,1,1,1,0,1,0,3
EXT:063056D807E5,2021,Qualtrics,other,,1,1,0,1,1,0,2
EXT:063B8E0C9E20,2025,ICANS Strasbourg,other,,1,1,1,0,1,0,2
EXT:063D25E6F5EA,2022,yz-intelligence Inc,company,,1,1,0,1,1,1,3
EXT:067EF77846E6,2025,Penta Global Limited,company,,1,1,0,1,1,0,2
EXT:06A1EA5D77D7,2024,MOH Office for Healthcare Transformation (MOHT),company,,1,1,1,1,1,0,32
EXT:06AB4DE81756,2025,AIIMS Rajkot,other,,1,1,1,0,1,0,3
EXT:06ABE4BB06F0,2021,Pazhou Lab,facility,CN,3,3,2,0,3,0,4
EXT:06ABE4BB06F0,2024,Pazhou Lab,facility,CN,4,4,1,3,4,0,9
EXT:06ABE4BB06F0,2025,Pazhou Lab,facility,CN,6,6,2,1,6,0,8
EXT:0734A9941FA8,2024,Bale University,education,,1,1,1,1,1,0,4
EXT:0760B4A31875,2024,INF Technology,company,CN,1,1,0,1,1,0,2
EXT:07B9734C30EF,2023,Klagenfurt University,education,,1,1,0,1,1,0,2
EXT:07CC9EDE75D3,2022,Lingxin AI,company,CN,1,1,0,1,1,0,3
EXT:07CD02898290,2024,Hi Dream.ai,company,CN,1,1,0,1,1,0,2
EXT:07D0CC86F7FE,2024,ItaliaNLP Lab,facility,IT,1,1,0,0,1,0,1
EXT:07D0CC86F7FE,2025,ItaliaNLP Lab,facility,IT,1,1,0,0,1,0,1
EXT:085AC1D992C9,2022,US Army Research Laboratory,facility,US,1,1,0,1,1,0,2
EXT:08B90A6C090C,2025,Sber AI,company,RU,1,0,0,0,0,0,0
EXT:092416875695,2020,iversity of Maryland,other,,1,1,0,0,1,0,1
EXT:0949C4D59687,2024,Honda Research Institute Japan,company,JP,1,1,1,1,1,0,1
EXT:09BF74B1E175,2020,Netaji Subhas Institute of Technology,education,IN,2,2,0,0,0,0,4
EXT:09C660B752E2,2024,AIMS,other,CM,1,1,1,1,1,1,35
EXT:09E0C01B5FF1,2021,Kanari AI,company,US,1,1,1,1,1,0,1
EXT:0A1C31B7E07D,2024,Appier AI Research,company,,1,1,0,1,1,0,1
EXT:0A40E37373A3,2025,AIM Intelligence,company,KR,1,1,1,1,1,0,5
EXT:0A69E8A9C41E,2023,Lelapa AI,company,ZA,1,1,1,1,1,0,23
EXT:0A69E8A9C41E,2024,Lelapa AI,company,ZA,2,2,2,2,2,1,39
EXT:0A69E8A9C41E,2025,Lelapa AI,company,ZA,1,1,1,1,1,0,2
EXT:0AC916050AFF,2025,"Key Laboratory of Data Engineering and Knowledge Engineering, MOE",facility,CN,1,1,0,1,1,0,3
EXT:0B60586AB9D2,2022,Newsbreak,other,,1,1,0,1,1,0,5
EXT:0B7221ADE7DD,2025,H S E University,education,,1,0,0,0,0,0,0
EXT:0BFA6DE41BD2,2020,JOYY,other,CN,1,1,1,1,1,0,3
EXT:0BFA6DE41BD2,2021,JOYY,other,CN,1,1,1,0,1,0,2
EXT:0BFA6DE41BD2,2022,JOYY,other,CN,1,1,1,0,1,0,2
EXT:0C28A63A5E87,2025,University of Bocconi,education,IT,1,1,1,0,0,0,1
EXT:0CB7BD3ADCDC,2020,Guglielmo Marconi University,education,IT,1,1,0,0,0,0,1
EXT:0CD1C2F9AB1B,2023,Sorbonne University,education,FR,1,1,0,0,1,0,3
EXT:0CED4682663D,2025,Istitute Marey,other,FR,1,1,0,0,1,0,3
EXT:0CEE55ED4A7F,2022,National Engineering Research Center for E-Learning,facility,,1,1,0,0,1,0,3
EXT:0D46FDF5303C,2025,MPI-SWS,other,,1,1,0,0,1,0,1
EXT:0D5A9AA90DAB,2022,Supportiv Inc,company,US,1,0,0,0,0,0,0
EXT:0D6A5B37556D,2024,"LIPN, CNRS UMR 7030",other,FR,1,0,0,0,0,0,0
EXT:0D812EA94C0A,2021,Kriston AI Lab,company,CN,2,2,2,2,2,0,5
EXT:0D812EA94C0A,2022,Kriston AI Lab,company,CN,1,1,1,1,1,0,4
EXT:0E0B0134A356,2021,Triomics,other,IN,1,1,1,1,1,0,2
EXT:0E0EE951F923,2025,M 42,other,AE,1,0,0,0,0,0,0
EXT:0E20BAD94C38,2025,CJ Corporation,company,,1,0,0,0,0,0,0
EXT:0E6E04C20BF3,2024,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",facility,CN,1,1,0,0,1,0,2
EXT:0E6E04C20BF3,2025,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",facility,CN,1,1,0,0,1,0,2
EXT:0EE2391596C2,2021,DPDC,other,,1,1,0,1,1,0,4
EXT:0EF05FDD54B1,2025,NetMind.AI,company,GB,2,2,2,2,2,0,7
EXT:0EF2A78A02E9,2025,"K Mind Technology Co., Ltd.",company,,1,1,1,1,1,0,5
EXT:0F47D8312887,2024,Apart Research,nonprofit,US,1,1,1,0,1,0,1
EXT:0F47D8312887,2025,Apart Research,nonprofit,US,1,1,1,1,1,0,4
EXT:0F497015728E,2020,Garanti BBVA Technology,company,,1,1,1,1,1,0,2
EXT:0F529AB289AB,2025,DS Outscale,other,FR,1,1,1,0,1,1,4
EXT:0FF2ACC69E4D,2025,TU M眉nchen,other,,1,1,1,1,1,0,3
EXT:10D60CDFCC14,2024,UTS,other,,1,1,1,1,1,0,6
EXT:11399EB71D44,2025,Brane Matrix AI,company,CN,1,1,1,1,1,0,6
EXT:11665E4FEB84,2024,Schibsted Media,company,,1,1,0,1,1,0,2
EXT:116849E4FF64,2023,Babelscape,other,IT,1,1,1,0,1,0,2
EXT:116849E4FF64,2024,Babelscape,other,IT,2,2,1,0,2,0,4
EXT:116849E4FF64,2025,Babelscape,other,IT,3,3,0,0,3,0,1
EXT:1214EED3A080,2024,Zhejiang Institute of Administration,facility,,1,1,0,0,1,0,1
EXT:121EB2A3D9F2,2022,China-Singapore International Joint Research Institute,company,CN,1,1,1,1,1,0,3
EXT:1226304D6884,2023,Logically,other,GB,1,1,1,0,1,0,1
EXT:1235D1B569ED,2021,Yereva NN,other,,1,1,1,0,1,0,2
EXT:12AAA3143133,2024,Dialpad Inc.,company,CA,1,1,1,1,1,0,4
EXT:137684EB7378,2025,Yuanshi Inc,company,,1,1,1,1,1,0,2
EXT:137B7DC46B88,2025,Beijing Key Laboratory of Research on Large Models and Intelligent Governance,facility,CN,4,4,0,2,4,0,7
EXT:139B77BF4840,2022,Ai 4 Innov,company,,1,1,1,1,1,1,27
EXT:13BAFB1351E2,2022,Grammarly,company,US,3,3,1,3,3,0,5
EXT:13BAFB1351E2,2024,Grammarly,company,US,1,1,1,1,1,0,2
EXT:13BAFB1351E2,2025,Grammarly,company,US,1,1,1,1,1,0,44
EXT:13E341509693,2025,Peraton Labs,company,,1,1,0,1,1,0,2
EXT:1405B0EA2E03,2025,Washington University School of Medicine,education,,1,1,0,0,0,0,1
EXT:142C9C4578EC,2025,Shanghai Al Lab,company,,1,1,0,1,1,0,4
EXT:14D9D005007C,2023,Bavarian Academy of Sciences,education,DE,1,1,0,0,0,0,1
EXT:14F53833A217,2022,Key Laboratory of Network Information System Technology,company,,1,1,0,1,1,0,2
