paper_id,org_id,data_id,year,org_name,org_type,org_country_code,org_source,org_source_category,org_is_parent_level,child_institution_count,child_institution_ids,child_institution_names,raw_affiliation_rows_collapsed
2020.acl-main.119,I177725633,2020.acl-main.119,2020,Chinese University of Hong Kong,education,CN,openalex,openalex_backed,0.0,1,I177725633,Chinese University of Hong Kong,1
2020.acl-main.121,EXT:749ED833F776,2020.acl-main.121,2020,"Beijing Fanyu Technology Co., Ltd.",company,CN,supplement_exact,supplemented,0.0,1,EXT:749ED833F776,"Beijing Fanyu Technology Co., Ltd",1
2020.acl-main.121,I4210112150,2020.acl-main.121,2020,Institute of Automation,facility,CN,openalex,openalex_backed,0.0,1,I4210112150,Institute of Automation,1
2020.acl-main.121,I4210165038,2020.acl-main.121,2020,University of Chinese Academy of Sciences,education,CN,openalex,openalex_backed,0.0,1,I4210165038,University of Chinese Academy of Sciences,1
2020.acl-main.125,I4210103986,2020.acl-main.125,2020,Jingdong (China),company,CN,openalex,openalex_backed,1.0,1,EXT:0429335A5B3B,JD.com,1
2020.acl-main.129,I4210160618,2020.acl-main.129,2020,Huawei Technologies,company,GB,openalex,openalex_backed,0.0,1,I4210160618,Huawei Technologies,1
2020.acl-main.129,I98677209,2020.acl-main.129,2020,University of Edinburgh,education,GB,openalex,openalex_backed,0.0,1,I98677209,University of Edinburgh,1
2020.acl-main.133,I31512782,2020.acl-main.133,2020,Technical University of Darmstadt,education,DE,openalex,openalex_backed,1.0,2,EXT:3679A82BF6E7 | I31512782,Technical University of Darmstadt | Ubiquitous Knowledge Processing Lab (UKP),2
2020.acl-main.144,I277688954,2020.acl-main.144,2020,Universit茅 Paris-Saclay,education,FR,openalex,openalex_backed,0.0,1,I277688954,Universit茅 Paris-Saclay,1
2020.acl-main.144,I4210096917,2020.acl-main.144,2020,Systran,company,FR,openalex,openalex_backed,0.0,1,I4210096917,Systran,1
2020.acl-main.145,I202697423,2020.acl-main.145,2020,University of Zurich,education,CH,openalex,openalex_backed,0.0,1,I202697423,University of Zurich,1
2020.acl-main.145,I35440088,2020.acl-main.145,2020,ETH Zurich,education,CH,openalex,openalex_backed,0.0,1,I35440088,ETH Zurich,1
2020.acl-main.145,I62916508,2020.acl-main.145,2020,Technical University of Munich,education,DE,openalex,openalex_backed,0.0,1,I62916508,Technical University of Munich,1
2020.acl-main.149,I114531698,2020.acl-main.149,2020,Tokyo Institute of Technology,education,JP,openalex,openalex_backed,0.0,1,I114531698,Tokyo Institute of Technology,1
2020.acl-main.149,I124055696,2020.acl-main.149,2020,University of Copenhagen,education,DK,openalex,openalex_backed,0.0,1,I124055696,University of Copenhagen,1
2020.acl-main.149,I145311948,2020.acl-main.149,2020,Johns Hopkins University,education,US,openalex,openalex_backed,0.0,1,I145311948,Johns Hopkins University,1
2020.acl-main.149,I241749,2020.acl-main.149,2020,University of Cambridge,education,GB,openalex,openalex_backed,0.0,1,I241749,University of Cambridge,1
2020.acl-main.149,I35440088,2020.acl-main.149,2020,ETH Zurich,education,CH,openalex,openalex_backed,0.0,1,I35440088,ETH Zurich,1
2020.acl-main.149,I74973139,2020.acl-main.149,2020,Carnegie Mellon University,education,US,openalex,openalex_backed,0.0,1,I74973139,Carnegie Mellon University,1
2020.acl-main.15,I1290206253,2020.acl-main.15,2020,Microsoft,company,US,openalex,openalex_backed,0.0,1,I1290206253,Microsoft,1
2020.acl-main.15,I4210113369,2020.acl-main.15,2020,Microsoft Research Asia,company,CN,openalex,openalex_backed,0.0,1,I4210113369,Microsoft Research Asia,1
