anthology_id,venue_dir,venue,year,award,title,source_url,pdf_url
2020.acl-main.740,2020.acl-long,ACL,2020,Honorable Mention for Best Overall Paper,Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks,https://aclanthology.org/2020.acl-main.740/,https://aclanthology.org/2020.acl-main.740.pdf
2020.emnlp-main.370,2020.emnlp-main,EMNLP,2020,Honorable Mention Paper,GLUCOSE: GeneraLized and COntextualized Story Explanations,https://aclanthology.org/2020.emnlp-main.370/,https://aclanthology.org/2020.emnlp-main.370.pdf
2020.emnlp-main.445,2020.emnlp-main,EMNLP,2020,Best Paper,Digital Voicing of Silent Speech,https://aclanthology.org/2020.emnlp-main.445/,https://aclanthology.org/2020.emnlp-main.445.pdf
2021.acl-long.567,2021.acl-long,,2021,Outstanding Paper,Neural Machine Translation with Monolingual Translation Memory,https://aclanthology.org/2021.acl-long.567/,https://aclanthology.org/2021.acl-long.567.pdf
2021.acl-long.569,2021.acl-long,,2021,Outstanding Paper,UnNatural Language Inference,https://aclanthology.org/2021.acl-long.569/,https://aclanthology.org/2021.acl-long.569.pdf
2021.acl-long.571,2021.acl-long,,2021,Best Paper,Vocabulary Learning via Optimal Transport for Neural Machine Translation,https://aclanthology.org/2021.acl-long.571/,https://aclanthology.org/2021.acl-long.571.pdf
2021.naacl-main.185,2021.naacl-main,NAACL,2021,Outstanding Long Paper,It’s Not Just Size That Matters: Small Language Models Are Also Few-Shot Learners,https://aclanthology.org/2021.naacl-main.185/,https://aclanthology.org/2021.naacl-main.185.pdf
2021.naacl-main.31,2021.naacl-main,NAACL,2021,Outstanding Long Paper,Unifying Cross-Lingual Semantic Role Labeling with Heterogeneous Linguistic Resources,https://aclanthology.org/2021.naacl-main.31/,https://aclanthology.org/2021.naacl-main.31.pdf
2022.acl-long.110,2022.acl-long,ACL,2022,Outstanding Paper,Online Semantic Parsing for Latency Reduction in Task-Oriented Dialogue,https://aclanthology.org/2022.acl-long.110/,https://aclanthology.org/2022.acl-long.110.pdf
2022.acl-long.331,2022.acl-long,ACL,2022,Outstanding Paper,Compression of Generative Pre-trained Language Models via Quantization,https://aclanthology.org/2022.acl-long.331/,https://aclanthology.org/2022.acl-long.331.pdf
2022.acl-long.367,2022.acl-long,ACL,2022,Best Linguistic Insight Paper,KinyaBERT: a Morphology-aware Kinyarwanda Language Model,https://aclanthology.org/2022.acl-long.367/,https://aclanthology.org/2022.acl-long.367.pdf
2022.acl-long.507,2022.acl-long,ACL,2022,Best Special Theme Paper,Requirements and Motivations of Low-Resource Speech Synthesis for Language Revitalization,https://aclanthology.org/2022.acl-long.507/,https://aclanthology.org/2022.acl-long.507.pdf
2022.acl-long.546,2022.acl-long,ACL,2022,Outstanding Paper,Learning to Generalize to More: Continuous Semantic Augmentation for Neural Machine Translation,https://aclanthology.org/2022.acl-long.546/,https://aclanthology.org/2022.acl-long.546.pdf
2022.naacl-main.319,2022.naacl-main,NAACL,2022,Best efficient NLP paper,FNet: Mixing Tokens with Fourier Transforms,https://aclanthology.org/2022.naacl-main.319/,https://aclanthology.org/2022.naacl-main.319.pdf
2022.naacl-main.361,2022.naacl-main,NAACL,2022,Honorable mention for contribution to methods,A Balanced Data Approach for Evaluating Cross-Lingual Transfer: Mapping the Linguistic Blood Bank,https://aclanthology.org/2022.naacl-main.361/,https://aclanthology.org/2022.naacl-main.361.pdf
2023.acl-long.154,2023.acl-long,ACL,2023,Area Chair Award (Linguistic Diversity),"Small Data, Big Impact: Leveraging Minimal Data for Effective Machine Translation",https://aclanthology.org/2023.acl-long.154/,https://aclanthology.org/2023.acl-long.154.pdf
2023.acl-long.160,2023.acl-long,ACL,2023,Outstanding Paper Award,Faithful Low-Resource Data-to-Text Generation through Cycle Training,https://aclanthology.org/2023.acl-long.160/,https://aclanthology.org/2023.acl-long.160.pdf
