paper_id,is_disclosed,is_strict,is_gfimp,is_lb1_gfimp,n_hardware_groups,n_named_gpu_types,paper_gpu_num_total,paper_gpu_num_filled_total,paper_total_compute_capability,paper_total_compute_capability_gfimp,paper_total_compute_capability_gfimp_lb1,paper_max_row_compute_capability,paper_max_row_compute_capability_gfimp,paper_max_row_compute_capability_gfimp_lb1,paper_main_gpu_name,paper_main_gpu_generation,paper_main_gpu_family
2020.acl-main.119,1,0,1,1,1,1,1,1,,5704000000000,5704000000000,,5704000000000,5704000000000,NVIDIA Tesla P4,Pascal,Tesla
2020.acl-main.121,1,0,1,1,1,1,1,1,,12150000000000,12150000000000,,12150000000000,12150000000000,NVIDIA TITAN Xp,Pascal,TITAN
2020.acl-main.125,1,0,1,1,1,1,4,4,,47040000000000,47040000000000,,47040000000000,47040000000000,NVIDIA P40,Pascal,Tesla
2020.acl-main.129,1,1,1,1,1,1,1,1,107000000000000,107000000000000,107000000000000,107000000000000,107000000000000,107000000000000,NVIDIA GeForce RTX 2080,Turing,GeForce RTX
2020.acl-main.133,1,0,1,1,1,1,1,1,,9526000000000,9526000000000,,9526000000000,9526000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.144,1,0,1,1,1,1,1,1,,9526000000000,9526000000000,,9526000000000,9526000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.145,1,0,1,1,1,1,4,4,,35492000000000,35492000000000,,35492000000000,35492000000000,NVIDIA GeForce GTX 1080,Pascal,GeForce GTX
2020.acl-main.149,1,0,1,1,1,1,16,16,,152416000000000,152416000000000,,152416000000000,152416000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.15,1,1,1,1,1,1,2,2,227600000000000,227600000000000,227600000000000,227600000000000,227600000000000,227600000000000,NVIDIA GeForce RTX 2080 Ti,Turing,GeForce RTX
2020.acl-main.156,1,0,1,1,1,1,4,4,,45360000000000,45360000000000,,45360000000000,45360000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
2020.acl-main.167,1,1,1,1,1,1,1,1,112000000000000,112000000000000,112000000000000,112000000000000,112000000000000,112000000000000,NVIDIA Tesla V100 PCIe 16 GB,Volta,Tesla
2020.acl-main.171,1,1,1,1,1,1,4,4,448000000000000,448000000000000,448000000000000,448000000000000,448000000000000,448000000000000,NVIDIA Tesla V100 PCIe 16 GB,Volta,Tesla
2020.acl-main.200,1,0,0,1,1,1,,1,,,9300000000000,,,9300000000000,NVIDIA P100,Pascal,Tesla
2020.acl-main.202,1,0,1,1,1,1,1,1,,9526000000000,9526000000000,,9526000000000,9526000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.204,1,0,1,1,1,1,1,1,,9526000000000,9526000000000,,9526000000000,9526000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.207,1,0,1,1,1,1,1,1,,14900000000000,14900000000000,,14900000000000,14900000000000,NVIDIA Titan V,Volta,TITAN
2020.acl-main.21,1,1,1,1,1,1,2,2,227600000000000,227600000000000,227600000000000,227600000000000,227600000000000,227600000000000,NVIDIA GeForce RTX 2080 Ti,Turing,GeForce RTX
2020.acl-main.215,1,0,1,1,1,1,1,1,,11340000000000,11340000000000,,11340000000000,11340000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
2020.acl-main.220,1,0,1,1,1,1,8,8,,53528000000000,53528000000000,,53528000000000,53528000000000,NVIDIA GeForce GTX TITAN X,Maxwell,TITAN
2020.acl-main.222,1,1,1,1,1,1,64,64,7168000000000000,7168000000000000,7168000000000000,7168000000000000,7168000000000000,7168000000000000,NVIDIA Tesla V100 PCIe 16 GB,Volta,Tesla
2020.acl-main.227,1,0,1,1,1,1,1,1,,9526000000000,9526000000000,,9526000000000,9526000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.23,1,0,1,1,1,1,1,1,,8873000000000,8873000000000,,8873000000000,8873000000000,NVIDIA GeForce GTX 1080,Pascal,GeForce GTX
2020.acl-main.235,1,1,1,1,1,1,1,1,112000000000000,112000000000000,112000000000000,112000000000000,112000000000000,112000000000000,NVIDIA Tesla V100 PCIe 16 GB,Volta,Tesla
2020.acl-main.238,1,1,1,1,1,1,1,1,113800000000000,113800000000000,113800000000000,113800000000000,113800000000000,113800000000000,NVIDIA GeForce RTX 2080 Ti,Turing,GeForce RTX
2020.acl-main.24,1,1,1,1,1,1,56,56,6272000000000000,6272000000000000,6272000000000000,6272000000000000,6272000000000000,6272000000000000,NVIDIA Tesla V100 PCIe 32 GB,Volta,Tesla
2020.acl-main.241,1,0,0,1,1,1,,1,,,11760000000000,,,11760000000000,NVIDIA P40,Pascal,Tesla
2020.acl-main.246,1,0,0,1,3,3,,3,,,259200000000000,,,130500000000000,NVIDIA TITAN RTX,Turing,TITAN
2020.acl-main.247,1,0,1,1,1,1,16,16,,152416000000000,152416000000000,,152416000000000,152416000000000,NVIDIA Tesla P100 PCIe 16GB,Pascal,Tesla
2020.acl-main.253,1,1,1,1,1,1,128,128,14336000000000000,14336000000000000,14336000000000000,14336000000000000,14336000000000000,14336000000000000,NVIDIA Tesla V100 PCIe 16 GB,Volta,Tesla
2020.acl-main.254,1,0,1,1,1,1,1,1,,6691000000000,6691000000000,,6691000000000,6691000000000,NVIDIA GeForce GTX TITAN X,Maxwell,TITAN
2020.acl-main.277,1,0,1,1,1,1,1,1,,11760000000000,11760000000000,,11760000000000,11760000000000,NVIDIA P40,Pascal,Tesla
2020.acl-main.299,1,0,1,1,1,1,1,1,,12150000000000,12150000000000,,12150000000000,12150000000000,NVIDIA TITAN Xp,Pascal,TITAN
2020.acl-main.301,1,0,1,1,1,1,1,1,,11340000000000,11340000000000,,11340000000000,11340000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
2020.acl-main.302,1,0,1,1,1,1,1,1,,11340000000000,11340000000000,,11340000000000,11340000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
2020.acl-main.306,1,0,0,1,1,1,,1,,,113800000000000,,,113800000000000,NVIDIA GeForce RTX 2080 Ti,Turing,GeForce RTX
2020.acl-main.319,1,0,1,1,1,1,1,1,,11340000000000,11340000000000,,11340000000000,11340000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
2020.acl-main.322,1,0,1,1,1,1,1,1,,14900000000000,14900000000000,,14900000000000,14900000000000,NVIDIA Titan V,Volta,TITAN
2020.acl-main.323,1,0,1,1,1,1,2,2,,22680000000000,22680000000000,,22680000000000,22680000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
2020.acl-main.324,1,1,1,1,1,1,8,8,896000000000000,896000000000000,896000000000000,896000000000000,896000000000000,896000000000000,NVIDIA Tesla V100 PCIe 16 GB,Volta,Tesla
2020.acl-main.340,1,0,1,1,1,1,1,1,,11340000000000,11340000000000,,11340000000000,11340000000000,NVIDIA GeForce GTX 1080 Ti,Pascal,GeForce GTX
