sample_id,venue_year,venue,year,paper_id,consumption_signal_visible
GPUVIS-001,acl2020,ACL,2020,2020.acl-main.133,0
GPUVIS-002,acl2020,ACL,2020,2020.acl-main.171,1
GPUVIS-003,acl2020,ACL,2020,2020.acl-main.207,1
GPUVIS-004,acl2020,ACL,2020,2020.acl-main.24,1
GPUVIS-005,acl2020,ACL,2020,2020.acl-main.241,1
GPUVIS-006,acl2020,ACL,2020,2020.acl-main.277,0
GPUVIS-007,acl2020,ACL,2020,2020.acl-main.301,0
GPUVIS-008,acl2020,ACL,2020,2020.acl-main.38,0
GPUVIS-009,acl2020,ACL,2020,2020.acl-main.398,1
GPUVIS-010,acl2020,ACL,2020,2020.acl-main.410,0
GPUVIS-011,acl2020,ACL,2020,2020.acl-main.460,1
GPUVIS-012,acl2020,ACL,2020,2020.acl-main.536,1
GPUVIS-013,acl2020,ACL,2020,2020.acl-main.599,1
GPUVIS-014,acl2020,ACL,2020,2020.acl-main.686,0
GPUVIS-015,acl2020,ACL,2020,2020.acl-main.720,0
GPUVIS-016,acl2021,acl,2021,2021.acl-long.120,0
GPUVIS-017,acl2021,acl,2021,2021.acl-long.14,0
GPUVIS-018,acl2021,acl,2021,2021.acl-long.190,0
GPUVIS-019,acl2021,acl,2021,2021.acl-long.215,0
GPUVIS-020,acl2021,acl,2021,2021.acl-long.231,0
GPUVIS-021,acl2021,acl,2021,2021.acl-long.282,0
GPUVIS-022,acl2021,acl,2021,2021.acl-long.296,0
GPUVIS-023,acl2021,acl,2021,2021.acl-long.356,0
GPUVIS-024,acl2021,acl,2021,2021.acl-long.379,1
GPUVIS-025,acl2021,acl,2021,2021.acl-long.437,0
GPUVIS-026,acl2021,acl,2021,2021.acl-long.462,0
GPUVIS-027,acl2021,acl,2021,2021.acl-long.478,0
GPUVIS-028,acl2021,acl,2021,2021.acl-long.486,0
GPUVIS-029,acl2021,acl,2021,2021.acl-long.497,0
GPUVIS-030,acl2021,acl,2021,2021.acl-long.504,1
GPUVIS-031,acl2022,ACL,2022,2022.acl-long.105,1
GPUVIS-032,acl2022,ACL,2022,2022.acl-long.106,1
GPUVIS-033,acl2022,ACL,2022,2022.acl-long.123,1
GPUVIS-034,acl2022,ACL,2022,2022.acl-long.193,0
GPUVIS-035,acl2022,ACL,2022,2022.acl-long.202,0
GPUVIS-036,acl2022,ACL,2022,2022.acl-long.225,1
GPUVIS-037,acl2022,ACL,2022,2022.acl-long.315,0
GPUVIS-038,acl2022,ACL,2022,2022.acl-long.330,0
GPUVIS-039,acl2022,ACL,2022,2022.acl-long.412,0
GPUVIS-040,acl2022,ACL,2022,2022.acl-long.477,0
GPUVIS-041,acl2022,ACL,2022,2022.acl-long.497,0
GPUVIS-042,acl2022,ACL,2022,2022.acl-long.511,1
GPUVIS-043,acl2022,ACL,2022,2022.acl-long.537,1
GPUVIS-044,acl2022,ACL,2022,2022.acl-long.564,0
GPUVIS-045,acl2022,ACL,2022,2022.acl-long.588,0
GPUVIS-046,acl2023,ACL,2023,2023.acl-long.127,0
GPUVIS-047,acl2023,ACL,2023,2023.acl-long.170,0
GPUVIS-048,acl2023,ACL,2023,2023.acl-long.181,0
GPUVIS-049,acl2023,ACL,2023,2023.acl-long.217,1
GPUVIS-050,acl2023,ACL,2023,2023.acl-long.251,0
GPUVIS-051,acl2023,ACL,2023,2023.acl-long.378,0
GPUVIS-052,acl2023,ACL,2023,2023.acl-long.434,0
GPUVIS-053,acl2023,ACL,2023,2023.acl-long.447,1
GPUVIS-054,acl2023,ACL,2023,2023.acl-long.553,0
GPUVIS-055,acl2023,ACL,2023,2023.acl-long.577,1
