source_acl_id,team_size,cited_by_count,citation_normalized_percentile.value,cited_by_percentile_year.min,cited_by_percentile_year.max
2020.acl-main.119,2,81,0.98552541999999999,95,100
2020.acl-main.121,4,51,0.96928451999999998,94,100
2020.acl-main.125,6,72,0.98050822000000004,91,100
2020.acl-main.129,3,5,0.75164312,89,96
2020.acl-main.133,3,2,0.63253307000000003,89,94
2020.acl-main.144,3,59,0.96972124000000004,89,100
2020.acl-main.145,4,25,0.91626388999999997,94,98
2020.acl-main.149,5,12,0.85754187999999998,91,97
2020.acl-main.15,6,57,0.97281187000000002,96,100
2020.acl-main.156,3,70,0.94721792999999999,94,100
2020.acl-main.167,7,3,0.68766229999999995,95,97
2020.acl-main.171,2,23,0.92576111999999999,90,98
2020.acl-main.200,3,25,0.90834841,95,98
2020.acl-main.202,2,4,0.61713794,89,96
2020.acl-main.204,5,287,0.99711322000000002,99,100
2020.acl-main.207,5,20,0.90015464000000001,94,98
2020.acl-main.21,2,26,0.91619307999999999,89,99
2020.acl-main.215,9,1,0.53477516000000003,89,93
2020.acl-main.220,6,9,0.82383874000000001,89,97
2020.acl-main.222,6,9,0.73359149999999995,90,97
2020.acl-main.227,8,16,0.88390119,89,99
2020.acl-main.23,5,31,0.94271647999999997,91,99
2020.acl-main.235,6,70,0.96603932000000003,97,100
2020.acl-main.238,1,22,0.91311587999999999,90,99
2020.acl-main.24,3,28,0.93519680000000005,91,99
2020.acl-main.241,5,91,0.97930872999999996,97,100
2020.acl-main.246,6,4,0.68558282000000004,89,95
2020.acl-main.247,8,9,0.79579783999999998,94,97
2020.acl-main.253,4,15,0.87734842999999996,93,99
2020.acl-main.254,6,54,0.97273551000000003,90,100
2020.acl-main.277,4,40,0.95291985000000001,90,99
2020.acl-main.299,3,9,0.81883141999999998,91,97
2020.acl-main.301,4,11,0.86254469,89,98
2020.acl-main.302,3,89,0.98594437000000001,98,100
2020.acl-main.306,4,250,0.99112467000000004,94,100
2020.acl-main.319,5,66,0.97125596999999997,94,100
2020.acl-main.322,8,61,0.96707036999999996,90,99
2020.acl-main.323,4,10,0.76167742000000005,89,97
2020.acl-main.324,6,37,0.95489159000000001,91,99
2020.acl-main.340,2,193,0.99502418999999998,98,100
2020.acl-main.344,5,99,0.98718024000000004,97,100
2020.acl-main.350,7,78,0.98208885000000001,97,100
2020.acl-main.36,3,56,0.96701714000000005,90,99
2020.acl-main.368,2,1,0.52046800999999998,89,94
2020.acl-main.37,5,18,0.86270069999999999,94,98
2020.acl-main.370,5,164,0.99396631000000002,97,100
2020.acl-main.38,5,24,0.92921357000000004,90,99
2020.acl-main.388,4,13,0.87207994,91,97
2020.acl-main.397,4,29,0.94515406999999996,89,99
2020.acl-main.40,6,27,0.93517413000000005,90,99
2020.acl-main.410,3,34,0.94509781000000004,96,99
2020.acl-main.43,6,6,0.78512468999999996,89,98
2020.acl-main.443,4,9,0.89383535000000003,89,97
