paper_id,year,openalex_work_id,first_author_openalex_id,last_author_openalex_id,author_count_openalex,institution_count_openalex,author_id_coverage,institution_id_coverage,author_history_coverage,institution_history_coverage,author_prior_citations_3y_max_log1p,author_prior_works_3y_mean_log1p,institution_prior_citations_3y_max_log1p,has_code_url,has_model_url,has_data_url,has_public_artifact,history_window_years
2020.acl-main.119,2020,W3035586188,A5061528283,A5018582154,2,1,1,1,1,1,7.8236459308349522,3.6243409329763652,13.814376915634556,0,1,0,1,3
2020.acl-main.121,2020,W3035691816,A5015809194,A5015785439,4,1,1,1,1,1,7.633369649679584,4.0817657800152407,14.948593836147561,0,0,0,0,3
2020.acl-main.125,2020,W3034682120,A5101666810,A5107808331,6,1,1,1,1,1,9.5463124835557114,3.5409593240373143,8.5316876375666908,0,0,0,0,3
2020.acl-main.129,2020,W3017861469,A5091470172,A5030503109,3,2,1,1,1,1,7.9827577020111127,3.2708355637989119,14.097719681113714,0,0,0,0,3
2020.acl-main.133,2020,W3033475175,A5042169309,A5027450194,3,1,1,1,1,1,9.6621800305942465,4.2389257910332079,12.405378318864289,0,0,0,0,3
2020.acl-main.144,2020,W4245202262,A5011367648,A5033330160,3,6,1,1,1,1,6.6618547405453112,2.4849066497880004,15.499697437071209,0,0,0,0,3
2020.acl-main.145,2020,W3034407863,A5067585932,A5031455263,4,3,1,1,1,1,7.0475172213572961,2.6390573296152584,14.193353667016128,0,0,0,0,3
2020.acl-main.149,2020,W3034508791,A5025094225,A5066940046,5,1,1,1,1,1,7.5475016828149668,3.478158422798284,7.8789129122971326,1,0,0,1,3
2020.acl-main.15,2020,W3034363136,A5088179161,A5115592065,6,2,1,1,1,1,8.7806337994949839,3.8140425970679424,14.304538325287568,0,1,0,1,3
2020.acl-main.156,2020,W3034617741,,,0,1,0,1,0,1,,,11.894173014298756,0,0,0,0,3
2020.acl-main.167,2020,W3027327463,A5048083543,A5043396055,7,2,1,1,1,1,7.2048925102046733,2.4608090982089399,12.25678952382188,0,0,0,0,3
2020.acl-main.171,2020,W3034579764,A5101805947,A5073224570,2,1,1,1,1,1,5.4424177105217932,2.0149030205422647,12.917057288419755,0,1,0,1,3
2020.acl-main.200,2020,W3034394361,A5049450075,A5102002827,3,1,1,1,1,1,7.2730925959995218,2.9267394020670401,12.130405766604758,0,1,0,1,3
2020.acl-main.202,2020,W3022128899,A5103853262,A5021000040,2,2,1,1,1,1,6.8145428972599582,3.5409593240373143,12.172112471446578,0,0,0,0,3
2020.acl-main.204,2020,W3035038672,A5110367147,A5082997975,5,2,1,1,1,1,8.5049181605406243,3.6686767467964168,13.305259768949126,1,1,0,1,3
2020.acl-main.207,2020,W3016913119,A5064858748,A5085011940,5,1,1,1,1,1,8.2313760455739686,2.9014215940827497,10.172063255248172,0,1,0,1,3
2020.acl-main.21,2020,W3034239264,A5067695432,A5029568096,2,1,1,1,1,1,7.7566233345388582,3.6763006719070761,14.460542546509824,0,1,0,1,3
2020.acl-main.215,2020,W3021378543,A5040069285,A5090835657,9,0,1,0,1,0,5.8971538676367405,1.6529230243738391,,0,0,0,0,3
2020.acl-main.220,2020,W3022592851,A5109576489,A5080591144,6,3,1,1,1,1,8.8674274385249827,3.3081069585961438,14.03220858142171,0,0,0,0,3
2020.acl-main.222,2020,W2985799198,A5048651878,A5076635608,6,1,1,1,1,1,8.8518065585524504,3.2958368660043291,12.613865043397428,0,0,0,0,3
2020.acl-main.227,2020,W3034629641,A5101424484,A5016448581,8,5,1,1,1,1,8.8237951487205297,4.1990798824860089,14.070616234815851,0,0,0,0,3
2020.acl-main.23,2020,W3035475181,A5006827289,A5100734069,5,5,1,1,1,1,7.7007477945117984,2.8678989020441064,14.661908299079933,0,0,0,0,3
2020.acl-main.235,2020,W3035100081,A5079869432,A5001469325,6,3,1,1,1,1,8.5095641642517457,3.7054087560651463,14.024839120244756,0,1,0,1,3
2020.acl-main.238,2020,W3034225346,A5002316432,A5002316432,1,1,1,1,1,1,6.0258659738253142,2.5649493574615367,9.7991820357268136,0,0,0,0,3
2020.acl-main.24,2020,W3034878914,A5103152813,A5086603207,2,1,0.66666666666666663,1,1,1,7.8367647832640666,3.044522437723423,9.9380821973006288,0,1,0,1,3
2020.acl-main.241,2020,W3034758281,A5033437280,A5107808331,5,0,1,0,1,0,9.5463124835557114,3.6584202466292282,,0,0,0,0,3
2020.acl-main.246,2020,W3021041462,A5101066425,A5082997975,6,2,1,1,1,1,8.5049181605406243,3.5788785588996079,13.305259768949126,1,0,0,1,3
2020.acl-main.247,2020,W2972738865,A5079135719,A5112335036,8,1,1,1,1,1,6.0591231955817966,2.7080502011022101,12.418025817448733,0,1,0,1,3
2020.acl-main.253,2020,W2967600676,A5016113002,A5083212922,4,1,1,1,1,1,10.042684117724416,3.4420193761824107,12.613865043397428,0,0,0,0,3
2020.acl-main.254,2020,W3035348852,A5091077640,A5006404928,6,1,1,1,1,1,6.8772960714974287,3.2451931331855741,12.961891762491804,0,0,0,0,3
2020.acl-main.277,2020,W3034216012,A5001672124,A5024102664,4,1,1,1,1,1,7.6255950721324526,3.4258899942525267,11.534980455751059,0,1,0,1,3
2020.acl-main.299,2020,W3034212072,A5101866601,A5057508424,3,1,1,1,1,1,7.3211885567394779,3.6549779024382549,12.898837252918335,0,1,0,1,3
2020.acl-main.301,2020,W3035400757,A5112427900,A5100418684,4,4,1,1,1,1,8.1025864253907898,3.886705197443856,14.077938666547531,0,0,0,0,3
