paper_id,org_id,year,org_name,org_type,org_country_code
2020.acl-main.119,I177725633,2020,Chinese University of Hong Kong,education,CN
2020.acl-main.121,EXT:749ED833F776,2020,"Beijing Fanyu Technology Co., Ltd.",company,CN
2020.acl-main.121,I4210112150,2020,Institute of Automation,facility,CN
2020.acl-main.121,I4210165038,2020,University of Chinese Academy of Sciences,education,CN
2020.acl-main.125,I4210103986,2020,Jingdong (China),company,CN
2020.acl-main.129,I4210160618,2020,Huawei Technologies,company,GB
2020.acl-main.129,I98677209,2020,University of Edinburgh,education,GB
2020.acl-main.133,I31512782,2020,Technical University of Darmstadt,education,DE
2020.acl-main.144,I277688954,2020,Universit茅 Paris-Saclay,education,FR
2020.acl-main.144,I4210096917,2020,Systran,company,FR
2020.acl-main.145,I202697423,2020,University of Zurich,education,CH
2020.acl-main.145,I35440088,2020,ETH Zurich,education,CH
2020.acl-main.145,I62916508,2020,Technical University of Munich,education,DE
2020.acl-main.149,I114531698,2020,Tokyo Institute of Technology,education,JP
2020.acl-main.149,I124055696,2020,University of Copenhagen,education,DK
2020.acl-main.149,I145311948,2020,Johns Hopkins University,education,US
2020.acl-main.149,I241749,2020,University of Cambridge,education,GB
2020.acl-main.149,I35440088,2020,ETH Zurich,education,CH
2020.acl-main.149,I74973139,2020,Carnegie Mellon University,education,US
2020.acl-main.15,I1290206253,2020,Microsoft,company,US
2020.acl-main.15,I4210113369,2020,Microsoft Research Asia,company,CN
2020.acl-main.15,I76130692,2020,Zhejiang University,education,CN
2020.acl-main.156,I1326498283,2020,Institut national de recherche en informatique et en automatique,government,FR
2020.acl-main.156,I39804081,2020,Sorbonne Universit茅,education,FR
2020.acl-main.167,I100066346,2020,University of Stuttgart,education,DE
2020.acl-main.167,I4210126794,2020,IBM Research,facility,CN
2020.acl-main.171,I1311688040,2020,Amazon,company,US
2020.acl-main.171,I136199984,2020,Harvard University,education,US
2020.acl-main.200,I4210114444,2020,Meta,company,US
2020.acl-main.202,I1290206253,2020,Microsoft,company,US
2020.acl-main.204,I151746483,2020,University of Waterloo,education,CA
