paper_id,year,venue,model_reported,strict_reported
2020.acl-main.1,2020,ACL,0,0
2020.acl-main.10,2020,ACL,0,0
2020.acl-main.100,2020,ACL,0,0
2020.acl-main.101,2020,ACL,0,0
2020.acl-main.102,2020,ACL,0,0
2020.acl-main.103,2020,ACL,0,0
2020.acl-main.104,2020,ACL,0,0
2020.acl-main.105,2020,ACL,0,0
2020.acl-main.106,2020,ACL,0,0
2020.acl-main.107,2020,ACL,0,0
2020.acl-main.108,2020,ACL,0,0
2020.acl-main.109,2020,ACL,0,0
2020.acl-main.11,2020,ACL,0,0
2020.acl-main.110,2020,ACL,0,0
2020.acl-main.111,2020,ACL,0,0
2020.acl-main.112,2020,ACL,0,0
2020.acl-main.113,2020,ACL,0,0
2020.acl-main.114,2020,ACL,0,0
2020.acl-main.115,2020,ACL,0,0
2020.acl-main.116,2020,ACL,0,0
2020.acl-main.117,2020,ACL,0,0
2020.acl-main.118,2020,ACL,0,0
2020.acl-main.119,2020,ACL,1,0
2020.acl-main.12,2020,ACL,0,0
2020.acl-main.120,2020,ACL,0,0
2020.acl-main.121,2020,ACL,1,0
2020.acl-main.122,2020,ACL,0,0
2020.acl-main.123,2020,ACL,0,0
2020.acl-main.124,2020,ACL,0,0
2020.acl-main.125,2020,ACL,1,0
2020.acl-main.126,2020,ACL,0,0
2020.acl-main.127,2020,ACL,0,0
2020.acl-main.128,2020,ACL,0,0
2020.acl-main.129,2020,ACL,1,1
2020.acl-main.13,2020,ACL,0,0
2020.acl-main.130,2020,ACL,0,0
2020.acl-main.131,2020,ACL,0,0
2020.acl-main.132,2020,ACL,0,0
2020.acl-main.133,2020,ACL,1,0
2020.acl-main.134,2020,ACL,0,0
2020.acl-main.135,2020,ACL,0,0
2020.acl-main.136,2020,ACL,0,0
2020.acl-main.137,2020,ACL,0,0
2020.acl-main.138,2020,ACL,0,0
2020.acl-main.139,2020,ACL,0,0
2020.acl-main.14,2020,ACL,0,0
2020.acl-main.140,2020,ACL,0,0
2020.acl-main.141,2020,ACL,0,0
2020.acl-main.142,2020,ACL,0,0
2020.acl-main.143,2020,ACL,0,0
2020.acl-main.144,2020,ACL,1,0
2020.acl-main.145,2020,ACL,1,0
2020.acl-main.146,2020,ACL,0,0
2020.acl-main.147,2020,ACL,0,0
2020.acl-main.148,2020,ACL,0,0
2020.acl-main.149,2020,ACL,1,0
2020.acl-main.15,2020,ACL,1,1
2020.acl-main.150,2020,ACL,0,0
2020.acl-main.151,2020,ACL,0,0
2020.acl-main.152,2020,ACL,0,0
2020.acl-main.153,2020,ACL,0,0
2020.acl-main.154,2020,ACL,0,0
2020.acl-main.155,2020,ACL,0,0
2020.acl-main.156,2020,ACL,1,0
2020.acl-main.157,2020,ACL,0,0
2020.acl-main.158,2020,ACL,0,0
2020.acl-main.159,2020,ACL,0,0
2020.acl-main.16,2020,ACL,0,0
2020.acl-main.160,2020,ACL,0,0
2020.acl-main.161,2020,ACL,0,0
2020.acl-main.162,2020,ACL,0,0
2020.acl-main.163,2020,ACL,0,0
2020.acl-main.164,2020,ACL,0,0
2020.acl-main.165,2020,ACL,0,0
2020.acl-main.166,2020,ACL,0,0
2020.acl-main.167,2020,ACL,1,1
2020.acl-main.168,2020,ACL,0,0
2020.acl-main.169,2020,ACL,0,0
2020.acl-main.17,2020,ACL,0,0
2020.acl-main.170,2020,ACL,0,0
2020.acl-main.171,2020,ACL,1,1
2020.acl-main.172,2020,ACL,0,0
2020.acl-main.173,2020,ACL,0,0
2020.acl-main.174,2020,ACL,0,0
2020.acl-main.175,2020,ACL,0,0
2020.acl-main.176,2020,ACL,0,0
2020.acl-main.177,2020,ACL,0,0
2020.acl-main.178,2020,ACL,0,0
