paper_id,track,year,venue,model_reported,strict_reported
2020.findings-emnlp.1,findings,2020,EMNLP,0,0
2020.findings-emnlp.10,findings,2020,EMNLP,0,0
2020.findings-emnlp.100,findings,2020,EMNLP,0,0
2020.findings-emnlp.101,findings,2020,EMNLP,0,0
2020.findings-emnlp.102,findings,2020,EMNLP,1,0
2020.findings-emnlp.103,findings,2020,EMNLP,0,0
2020.findings-emnlp.104,findings,2020,EMNLP,0,0
2020.findings-emnlp.105,findings,2020,EMNLP,0,0
2020.findings-emnlp.106,findings,2020,EMNLP,0,0
2020.findings-emnlp.107,findings,2020,EMNLP,1,1
2020.findings-emnlp.108,findings,2020,EMNLP,0,0
2020.findings-emnlp.109,findings,2020,EMNLP,1,0
2020.findings-emnlp.11,findings,2020,EMNLP,1,0
2020.findings-emnlp.110,findings,2020,EMNLP,1,0
2020.findings-emnlp.111,findings,2020,EMNLP,1,0
2020.findings-emnlp.112,findings,2020,EMNLP,0,0
2020.findings-emnlp.113,findings,2020,EMNLP,1,1
2020.findings-emnlp.114,findings,2020,EMNLP,1,1
2020.findings-emnlp.115,findings,2020,EMNLP,0,0
2020.findings-emnlp.116,findings,2020,EMNLP,1,1
2020.findings-emnlp.117,findings,2020,EMNLP,0,0
2020.findings-emnlp.118,findings,2020,EMNLP,1,0
2020.findings-emnlp.119,findings,2020,EMNLP,0,0
2020.findings-emnlp.12,findings,2020,EMNLP,0,0
2020.findings-emnlp.120,findings,2020,EMNLP,1,1
2020.findings-emnlp.121,findings,2020,EMNLP,0,0
2020.findings-emnlp.122,findings,2020,EMNLP,1,0
2020.findings-emnlp.123,findings,2020,EMNLP,1,1
2020.findings-emnlp.124,findings,2020,EMNLP,1,1
2020.findings-emnlp.125,findings,2020,EMNLP,1,0
2020.findings-emnlp.126,findings,2020,EMNLP,1,1
2020.findings-emnlp.127,findings,2020,EMNLP,1,0
2020.findings-emnlp.128,findings,2020,EMNLP,0,0
2020.findings-emnlp.129,findings,2020,EMNLP,1,1
2020.findings-emnlp.13,findings,2020,EMNLP,0,0
2020.findings-emnlp.130,findings,2020,EMNLP,1,1
2020.findings-emnlp.131,findings,2020,EMNLP,0,0
2020.findings-emnlp.132,findings,2020,EMNLP,0,0
2020.findings-emnlp.133,findings,2020,EMNLP,1,0
2020.findings-emnlp.134,findings,2020,EMNLP,1,1
2020.findings-emnlp.135,findings,2020,EMNLP,1,0
2020.findings-emnlp.136,findings,2020,EMNLP,0,0
2020.findings-emnlp.137,findings,2020,EMNLP,0,0
2020.findings-emnlp.138,findings,2020,EMNLP,0,0
2020.findings-emnlp.139,findings,2020,EMNLP,1,1
2020.findings-emnlp.14,findings,2020,EMNLP,0,0
2020.findings-emnlp.140,findings,2020,EMNLP,0,0
2020.findings-emnlp.141,findings,2020,EMNLP,1,0
2020.findings-emnlp.142,findings,2020,EMNLP,0,0
2020.findings-emnlp.143,findings,2020,EMNLP,0,0
2020.findings-emnlp.144,findings,2020,EMNLP,0,0
2020.findings-emnlp.145,findings,2020,EMNLP,1,1
2020.findings-emnlp.146,findings,2020,EMNLP,0,0
2020.findings-emnlp.147,findings,2020,EMNLP,1,0
2020.findings-emnlp.148,findings,2020,EMNLP,1,1
2020.findings-emnlp.149,findings,2020,EMNLP,1,1
2020.findings-emnlp.15,findings,2020,EMNLP,1,1
2020.findings-emnlp.150,findings,2020,EMNLP,1,0
2020.findings-emnlp.151,findings,2020,EMNLP,1,0
2020.findings-emnlp.152,findings,2020,EMNLP,1,1
2020.findings-emnlp.153,findings,2020,EMNLP,0,0
2020.findings-emnlp.154,findings,2020,EMNLP,1,1
2020.findings-emnlp.155,findings,2020,EMNLP,1,0
2020.findings-emnlp.156,findings,2020,EMNLP,0,0
2020.findings-emnlp.157,findings,2020,EMNLP,1,0
2020.findings-emnlp.158,findings,2020,EMNLP,0,0
2020.findings-emnlp.159,findings,2020,EMNLP,1,1
2020.findings-emnlp.16,findings,2020,EMNLP,1,0
2020.findings-emnlp.160,findings,2020,EMNLP,1,1
2020.findings-emnlp.161,findings,2020,EMNLP,1,1
2020.findings-emnlp.162,findings,2020,EMNLP,1,1
2020.findings-emnlp.163,findings,2020,EMNLP,1,0
2020.findings-emnlp.164,findings,2020,EMNLP,1,1
2020.findings-emnlp.165,findings,2020,EMNLP,1,1
2020.findings-emnlp.166,findings,2020,EMNLP,1,0
2020.findings-emnlp.167,findings,2020,EMNLP,1,0
2020.findings-emnlp.168,findings,2020,EMNLP,0,0
2020.findings-emnlp.169,findings,2020,EMNLP,0,0
2020.findings-emnlp.17,findings,2020,EMNLP,1,1
2020.findings-emnlp.170,findings,2020,EMNLP,0,0
2020.findings-emnlp.171,findings,2020,EMNLP,1,0
2020.findings-emnlp.172,findings,2020,EMNLP,0,0
2020.findings-emnlp.173,findings,2020,EMNLP,0,0
2020.findings-emnlp.174,findings,2020,EMNLP,0,0
2020.findings-emnlp.175,findings,2020,EMNLP,1,0
2020.findings-emnlp.176,findings,2020,EMNLP,1,0
2020.findings-emnlp.177,findings,2020,EMNLP,1,0
2020.findings-emnlp.178,findings,2020,EMNLP,0,0
2020.findings-emnlp.179,findings,2020,EMNLP,0,0
2020.findings-emnlp.18,findings,2020,EMNLP,0,0
2020.findings-emnlp.180,findings,2020,EMNLP,0,0
2020.findings-emnlp.181,findings,2020,EMNLP,0,0
2020.findings-emnlp.182,findings,2020,EMNLP,1,0
2020.findings-emnlp.183,findings,2020,EMNLP,1,1
2020.findings-emnlp.184,findings,2020,EMNLP,0,0
2020.findings-emnlp.185,findings,2020,EMNLP,1,1
2020.findings-emnlp.186,findings,2020,EMNLP,0,0
2020.findings-emnlp.187,findings,2020,EMNLP,0,0
2020.findings-emnlp.188,findings,2020,EMNLP,0,0
2020.findings-emnlp.189,findings,2020,EMNLP,1,0
2020.findings-emnlp.19,findings,2020,EMNLP,0,0
2020.findings-emnlp.190,findings,2020,EMNLP,1,0
2020.findings-emnlp.191,findings,2020,EMNLP,1,1
2020.findings-emnlp.192,findings,2020,EMNLP,1,1
2020.findings-emnlp.193,findings,2020,EMNLP,1,0
2020.findings-emnlp.194,findings,2020,EMNLP,0,0
2020.findings-emnlp.195,findings,2020,EMNLP,0,0
2020.findings-emnlp.196,findings,2020,EMNLP,1,1
2020.findings-emnlp.197,findings,2020,EMNLP,1,0
2020.findings-emnlp.198,findings,2020,EMNLP,1,0
2020.findings-emnlp.199,findings,2020,EMNLP,0,0
2020.findings-emnlp.2,findings,2020,EMNLP,0,0
2020.findings-emnlp.20,findings,2020,EMNLP,0,0
2020.findings-emnlp.200,findings,2020,EMNLP,0,0
2020.findings-emnlp.201,findings,2020,EMNLP,1,1
2020.findings-emnlp.202,findings,2020,EMNLP,1,0
2020.findings-emnlp.203,findings,2020,EMNLP,1,0
2020.findings-emnlp.204,findings,2020,EMNLP,0,0
2020.findings-emnlp.205,findings,2020,EMNLP,1,1
2020.findings-emnlp.206,findings,2020,EMNLP,0,0
2020.findings-emnlp.207,findings,2020,EMNLP,1,1
2020.findings-emnlp.208,findings,2020,EMNLP,0,0
2020.findings-emnlp.209,findings,2020,EMNLP,0,0
2020.findings-emnlp.21,findings,2020,EMNLP,0,0
2020.findings-emnlp.210,findings,2020,EMNLP,0,0
2020.findings-emnlp.211,findings,2020,EMNLP,1,0
2020.findings-emnlp.212,findings,2020,EMNLP,1,1
2020.findings-emnlp.213,findings,2020,EMNLP,0,0
2020.findings-emnlp.214,findings,2020,EMNLP,0,0
2020.findings-emnlp.215,findings,2020,EMNLP,1,1
2020.findings-emnlp.216,findings,2020,EMNLP,0,0
2020.findings-emnlp.217,findings,2020,EMNLP,1,1
2020.findings-emnlp.218,findings,2020,EMNLP,0,0
2020.findings-emnlp.219,findings,2020,EMNLP,1,0
2020.findings-emnlp.22,findings,2020,EMNLP,0,0
2020.findings-emnlp.220,findings,2020,EMNLP,1,1
2020.findings-emnlp.221,findings,2020,EMNLP,1,1
2020.findings-emnlp.222,findings,2020,EMNLP,1,0
2020.findings-emnlp.223,findings,2020,EMNLP,1,1
2020.findings-emnlp.224,findings,2020,EMNLP,0,0
2020.findings-emnlp.225,findings,2020,EMNLP,1,0
2020.findings-emnlp.226,findings,2020,EMNLP,0,0
2020.findings-emnlp.227,findings,2020,EMNLP,0,0
2020.findings-emnlp.228,findings,2020,EMNLP,0,0
2020.findings-emnlp.229,findings,2020,EMNLP,0,0
2020.findings-emnlp.23,findings,2020,EMNLP,1,1
2020.findings-emnlp.230,findings,2020,EMNLP,1,0
2020.findings-emnlp.231,findings,2020,EMNLP,0,0
2020.findings-emnlp.232,findings,2020,EMNLP,1,1
2020.findings-emnlp.233,findings,2020,EMNLP,1,1
2020.findings-emnlp.234,findings,2020,EMNLP,0,0
2020.findings-emnlp.235,findings,2020,EMNLP,0,0
2020.findings-emnlp.236,findings,2020,EMNLP,1,0
2020.findings-emnlp.237,findings,2020,EMNLP,1,0
2020.findings-emnlp.238,findings,2020,EMNLP,0,0
2020.findings-emnlp.239,findings,2020,EMNLP,1,1
2020.findings-emnlp.24,findings,2020,EMNLP,1,0
2020.findings-emnlp.240,findings,2020,EMNLP,0,0
2020.findings-emnlp.241,findings,2020,EMNLP,0,0
2020.findings-emnlp.242,findings,2020,EMNLP,0,0
2020.findings-emnlp.243,findings,2020,EMNLP,0,0
2020.findings-emnlp.244,findings,2020,EMNLP,0,0
2020.findings-emnlp.245,findings,2020,EMNLP,1,0
2020.findings-emnlp.246,findings,2020,EMNLP,0,0
2020.findings-emnlp.247,findings,2020,EMNLP,1,0
2020.findings-emnlp.248,findings,2020,EMNLP,0,0
2020.findings-emnlp.249,findings,2020,EMNLP,1,1
2020.findings-emnlp.25,findings,2020,EMNLP,1,0
2020.findings-emnlp.250,findings,2020,EMNLP,1,1
2020.findings-emnlp.251,findings,2020,EMNLP,1,1
2020.findings-emnlp.252,findings,2020,EMNLP,0,0
2020.findings-emnlp.253,findings,2020,EMNLP,1,0
2020.findings-emnlp.254,findings,2020,EMNLP,0,0
2020.findings-emnlp.255,findings,2020,EMNLP,0,0
2020.findings-emnlp.256,findings,2020,EMNLP,0,0
2020.findings-emnlp.257,findings,2020,EMNLP,1,0
2020.findings-emnlp.258,findings,2020,EMNLP,1,0
2020.findings-emnlp.259,findings,2020,EMNLP,0,0
2020.findings-emnlp.26,findings,2020,EMNLP,0,0
2020.findings-emnlp.260,findings,2020,EMNLP,0,0
2020.findings-emnlp.261,findings,2020,EMNLP,1,1
2020.findings-emnlp.262,findings,2020,EMNLP,0,0
2020.findings-emnlp.263,findings,2020,EMNLP,0,0
2020.findings-emnlp.264,findings,2020,EMNLP,0,0
2020.findings-emnlp.265,findings,2020,EMNLP,0,0
2020.findings-emnlp.266,findings,2020,EMNLP,0,0
2020.findings-emnlp.267,findings,2020,EMNLP,1,0
2020.findings-emnlp.268,findings,2020,EMNLP,0,0
2020.findings-emnlp.269,findings,2020,EMNLP,1,1
2020.findings-emnlp.27,findings,2020,EMNLP,0,0
2020.findings-emnlp.270,findings,2020,EMNLP,1,0
2020.findings-emnlp.271,findings,2020,EMNLP,1,0
2020.findings-emnlp.272,findings,2020,EMNLP,1,1
2020.findings-emnlp.273,findings,2020,EMNLP,1,0
2020.findings-emnlp.274,findings,2020,EMNLP,0,0
2020.findings-emnlp.275,findings,2020,EMNLP,0,0
2020.findings-emnlp.276,findings,2020,EMNLP,1,1
2020.findings-emnlp.277,findings,2020,EMNLP,0,0
2020.findings-emnlp.278,findings,2020,EMNLP,1,0
2020.findings-emnlp.279,findings,2020,EMNLP,0,0
2020.findings-emnlp.28,findings,2020,EMNLP,0,0
2020.findings-emnlp.280,findings,2020,EMNLP,1,1
2020.findings-emnlp.281,findings,2020,EMNLP,1,0
2020.findings-emnlp.282,findings,2020,EMNLP,0,0
2020.findings-emnlp.283,findings,2020,EMNLP,1,1
2020.findings-emnlp.284,findings,2020,EMNLP,0,0
2020.findings-emnlp.285,findings,2020,EMNLP,0,0
2020.findings-emnlp.286,findings,2020,EMNLP,1,1
2020.findings-emnlp.287,findings,2020,EMNLP,0,0
2020.findings-emnlp.288,findings,2020,EMNLP,0,0
2020.findings-emnlp.289,findings,2020,EMNLP,0,0
2020.findings-emnlp.29,findings,2020,EMNLP,0,0
