year,generation_group,papers,gpu_papers,paper_share_pct
2020,Ada Lovelace,1,461,0.21691973969631237
2020,Ampere,26,461,5.639913232104122
2020,Other,37,461,8.026030368763557
2020,Pascal,143,461,31.019522776572668
2020,Turing,101,461,21.90889370932755
2020,Volta,153,461,33.18872017353579
2021,Ada Lovelace,1,741,0.1349527665317139
2021,Ampere,84,741,11.336032388663968
2021,Other,29,741,3.913630229419703
2021,Pascal,127,741,17.139001349527664
2021,Turing,216,741,29.149797570850204
2021,Volta,284,741,38.32658569500675
2022,Ada Lovelace,2,876,0.228310502283105
2022,Ampere,309,876,35.273972602739725
2022,Other,17,876,1.9406392694063928
2022,Pascal,66,876,7.534246575342466
2022,Turing,165,876,18.835616438356166
2022,Volta,317,876,36.18721461187214
2023,Ada Lovelace,6,1078,0.5565862708719852
2023,Ampere,652,1078,60.48237476808905
2023,Hopper,2,1078,0.18552875695732837
2023,Other,7,1078,0.6493506493506493
2023,Pascal,45,1078,4.174397031539889
2023,Turing,121,1078,11.224489795918368
2023,Volta,245,1078,22.727272727272727
2024,Ada Lovelace,65,1440,4.513888888888889
2024,Ampere,1121,1440,77.84722222222223
2024,Hopper,40,1440,2.7777777777777777
2024,Other,7,1440,0.4861111111111111
2024,Pascal,16,1440,1.1111111111111112
2024,Turing,59,1440,4.097222222222222
2024,Volta,132,1440,9.166666666666666
2025,Ada Lovelace,179,2304,7.769097222222222
2025,Ampere,1692,2304,73.4375
2025,Hopper,276,2304,11.979166666666666
2025,Other,18,2304,0.78125
2025,Pascal,7,2304,0.3038194444444444
2025,Turing,43,2304,1.8663194444444444
2025,Volta,89,2304,3.8628472222222223
