year,paper_memory_bin,papers,gpu_papers,share_pct
2020,Unknown,0,461,0.0
2020,<=12 GB,192,461,41.649
2020,16 GB,159,461,34.49
2020,24 GB,44,461,9.544
2020,32 GB,26,461,5.64
2020,40-48 GB,40,461,8.677
2020,64-80 GB,0,461,0.0
2020,>80 GB,0,461,0.0
2021,Unknown,0,741,0.0
2021,<=12 GB,229,741,30.904
2021,16 GB,245,741,33.063
2021,24 GB,101,741,13.63
2021,32 GB,75,741,10.121
2021,40-48 GB,88,741,11.876
2021,64-80 GB,2,741,0.27
2021,>80 GB,1,741,0.135
2022,Unknown,0,876,0.0
2022,<=12 GB,133,876,15.183
2022,16 GB,234,876,26.712
2022,24 GB,145,876,16.553
2022,32 GB,94,876,10.731
2022,40-48 GB,246,876,28.082
2022,64-80 GB,23,876,2.626
2022,>80 GB,1,876,0.114
2023,Unknown,1,1078,0.093
2023,<=12 GB,69,1078,6.401
2023,16 GB,174,1078,16.141
2023,24 GB,201,1078,18.646
2023,32 GB,91,1078,8.442
2023,40-48 GB,456,1078,42.301
2023,64-80 GB,83,1078,7.699
2023,>80 GB,3,1078,0.278
2024,Unknown,1,1440,0.069
2024,<=12 GB,31,1440,2.153
2024,16 GB,88,1440,6.111
2024,24 GB,171,1440,11.875
2024,32 GB,55,1440,3.819
2024,40-48 GB,741,1440,51.458
2024,64-80 GB,350,1440,24.306
2024,>80 GB,3,1440,0.208
2025,Unknown,11,2304,0.477
2025,<=12 GB,17,2304,0.738
2025,16 GB,55,2304,2.387
2025,24 GB,238,2304,10.33
2025,32 GB,63,2304,2.734
2025,40-48 GB,1035,2304,44.922
2025,64-80 GB,824,2304,35.764
2025,>80 GB,61,2304,2.648
