paper_id,year,venue,n_reported_gpu_rows,n_unique_benchmark_gpus,reported_gpu_units,reported_peak_tflops
2020.acl-main.119,2020,ACL,1,1,1.0,22.0
2020.acl-main.121,2020,ACL,1,1,1.0,12.15
2020.acl-main.125,2020,ACL,1,1,4.0,47.04
2020.acl-main.133,2020,ACL,1,1,1.0,19.05
2020.acl-main.144,2020,ACL,1,1,1.0,19.05
2020.acl-main.145,2020,ACL,1,1,4.0,35.492
2020.acl-main.149,2020,ACL,1,1,16.0,304.8
2020.acl-main.156,2020,ACL,1,1,4.0,45.36
2020.acl-main.167,2020,ACL,1,1,1.0,112.0
2020.acl-main.171,2020,ACL,1,1,4.0,448.0
2020.acl-main.202,2020,ACL,1,1,1.0,19.05
2020.acl-main.204,2020,ACL,1,1,1.0,19.05
2020.acl-main.207,2020,ACL,1,1,1.0,29.8
2020.acl-main.215,2020,ACL,1,1,1.0,11.34
2020.acl-main.220,2020,ACL,1,1,8.0,53.528
2020.acl-main.222,2020,ACL,1,1,64.0,7168.0
2020.acl-main.227,2020,ACL,1,1,1.0,19.05
2020.acl-main.23,2020,ACL,1,1,1.0,8.873
2020.acl-main.235,2020,ACL,1,1,1.0,112.0
2020.acl-main.24,2020,ACL,1,1,56.0,6272.0
2020.acl-main.247,2020,ACL,1,1,16.0,304.8
2020.acl-main.253,2020,ACL,1,1,128.0,14336.0
2020.acl-main.254,2020,ACL,1,1,1.0,6.691
2020.acl-main.277,2020,ACL,1,1,1.0,11.76
2020.acl-main.299,2020,ACL,1,1,1.0,12.15
2020.acl-main.301,2020,ACL,1,1,1.0,11.34
2020.acl-main.302,2020,ACL,1,1,1.0,11.34
2020.acl-main.319,2020,ACL,1,1,1.0,11.34
2020.acl-main.322,2020,ACL,1,1,1.0,29.8
2020.acl-main.323,2020,ACL,1,1,2.0,22.68
2020.acl-main.324,2020,ACL,1,1,8.0,896.0
2020.acl-main.340,2020,ACL,1,1,1.0,11.34
2020.acl-main.344,2020,ACL,1,1,4.0,47.04
2020.acl-main.350,2020,ACL,1,1,2.0,224.0
2020.acl-main.36,2020,ACL,2,1,9.0,90.72
2020.acl-main.368,2020,ACL,1,1,1.0,11.34
2020.acl-main.37,2020,ACL,1,1,2.0,22.68
2020.acl-main.370,2020,ACL,1,1,1.0,19.05
2020.acl-main.38,2020,ACL,1,1,2.0,22.68
2020.acl-main.40,2020,ACL,1,1,8.0,152.4
2020.acl-main.451,2020,ACL,1,1,1.0,19.05
2020.acl-main.460,2020,ACL,2,1,2.0,6.691
2020.acl-main.469,2020,ACL,1,1,4.0,448.0
2020.acl-main.471,2020,ACL,1,1,1.0,29.8
2020.acl-main.504,2020,ACL,1,1,8.0,896.0
2020.acl-main.510,2020,ACL,1,1,1.0,6.832
2020.acl-main.522,2020,ACL,1,1,1.0,112.0
2020.acl-main.536,2020,ACL,1,1,8.0,896.0
2020.acl-main.539,2020,ACL,1,1,4.0,47.04
2020.acl-main.552,2020,ACL,1,1,8.0,896.0
2020.acl-main.555,2020,ACL,1,1,4.0,448.0
2020.acl-main.586,2020,ACL,1,1,8.0,896.0
2020.acl-main.593,2020,ACL,1,1,1.0,32.62
2020.acl-main.599,2020,ACL,1,1,4.0,47.04
2020.acl-main.604,2020,ACL,2,2,5.0,47.04
2020.acl-main.616,2020,ACL,1,1,1.0,12.15
2020.acl-main.625,2020,ACL,2,2,8.0,448.0
2020.acl-main.638,2020,ACL,1,1,1.0,19.05
2020.acl-main.640,2020,ACL,1,1,1.0,11.34
2020.acl-main.665,2020,ACL,1,1,2.0,22.68
2020.acl-main.705,2020,ACL,2,1,5.0,448.0
2020.acl-main.718,2020,ACL,1,1,1.0,11.34
2020.acl-main.731,2020,ACL,1,1,4.0,48.6
2020.acl-main.745,2020,ACL,1,1,128.0,14336.0
2020.acl-main.753,2020,ACL,1,1,8.0,896.0
2020.acl-main.9,2020,ACL,1,1,8.0,896.0
2020.emnlp-main.10,2020,EMNLP,1,1,4.0,2496.0
2020.emnlp-main.105,2020,EMNLP,1,1,1.0,32.62
2020.emnlp-main.11,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.110,2020,EMNLP,1,1,1.0,19.05
2020.emnlp-main.111,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.114,2020,EMNLP,2,1,3.0,38.1
2020.emnlp-main.117,2020,EMNLP,2,1,4.0,36.45
2020.emnlp-main.120,2020,EMNLP,1,1,8.0,896.0
2020.emnlp-main.121,2020,EMNLP,1,1,1.0,8.873
2020.emnlp-main.125,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.130,2020,EMNLP,1,1,1.0,19.05
2020.emnlp-main.132,2020,EMNLP,1,1,1.0,65.1299999999999
2020.emnlp-main.136,2020,EMNLP,1,1,1.0,8.873
2020.emnlp-main.140,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.145,2020,EMNLP,1,1,8.0,4992.0
2020.emnlp-main.15,2020,EMNLP,1,1,1.0,8.126
2020.emnlp-main.150,2020,EMNLP,2,1,5.0,448.0
2020.emnlp-main.152,2020,EMNLP,1,1,1.0,11.76
2020.emnlp-main.154,2020,EMNLP,1,1,1.0,29.8
2020.emnlp-main.155,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.16,2020,EMNLP,1,1,1.0,29.8
2020.emnlp-main.160,2020,EMNLP,1,1,8.0,4992.0
2020.emnlp-main.161,2020,EMNLP,1,1,16.0,1792.0
2020.emnlp-main.162,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.166,2020,EMNLP,1,1,1.0,11.76
2020.emnlp-main.17,2020,EMNLP,5,2,8.0,45.36
2020.emnlp-main.175,2020,EMNLP,1,1,4.0,48.6
2020.emnlp-main.176,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.179,2020,EMNLP,1,1,8.0,4992.0
2020.emnlp-main.18,2020,EMNLP,1,1,2.0,224.0
2020.emnlp-main.187,2020,EMNLP,1,1,4.0,76.2
2020.emnlp-main.188,2020,EMNLP,1,1,2.0,16.252
2020.emnlp-main.19,2020,EMNLP,2,1,2.0,112.0
2020.emnlp-main.190,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.191,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.193,2020,EMNLP,1,1,4.0,47.04
2020.emnlp-main.194,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.195,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.203,2020,EMNLP,3,1,6.0,45.36
2020.emnlp-main.213,2020,EMNLP,1,1,1.0,65.1299999999999
2020.emnlp-main.215,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.216,2020,EMNLP,2,2,12.0,152.4
2020.emnlp-main.217,2020,EMNLP,1,1,1.0,32.62
2020.emnlp-main.22,2020,EMNLP,1,1,1.0,32.62
2020.emnlp-main.226,2020,EMNLP,1,1,160.0,17920.0
2020.emnlp-main.227,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.228,2020,EMNLP,1,1,4.0,48.6
2020.emnlp-main.230,2020,EMNLP,1,1,2.0,22.68
2020.emnlp-main.233,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.235,2020,EMNLP,2,1,2.0,112.0
2020.emnlp-main.238,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.24,2020,EMNLP,1,1,1.0,227.7
2020.emnlp-main.243,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.244,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.246,2020,EMNLP,1,1,1.0,12.15
2020.emnlp-main.248,2020,EMNLP,1,1,1.0,12.15
2020.emnlp-main.251,2020,EMNLP,1,1,1.0,65.1299999999999
2020.emnlp-main.253,2020,EMNLP,1,1,2.0,455.4
2020.emnlp-main.255,2020,EMNLP,1,1,4.0,26.764
2020.emnlp-main.256,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.263,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.264,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.267,2020,EMNLP,1,1,1.0,8.873
2020.emnlp-main.269,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.271,2020,EMNLP,1,1,1.0,8.126
2020.emnlp-main.277,2020,EMNLP,2,1,12.0,90.72
2020.emnlp-main.278,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.28,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.285,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.291,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.295,2020,EMNLP,1,1,2.0,224.0
2020.emnlp-main.296,2020,EMNLP,1,1,4.0,45.36
2020.emnlp-main.297,2020,EMNLP,1,1,8.0,896.0
2020.emnlp-main.3,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.30,2020,EMNLP,1,1,16.0,1792.0
2020.emnlp-main.301,2020,EMNLP,1,1,1.0,8.873
2020.emnlp-main.305,2020,EMNLP,1,1,1.0,5.046
2020.emnlp-main.306,2020,EMNLP,2,2,2.0,112.0
2020.emnlp-main.308,2020,EMNLP,1,1,2.0,22.68
2020.emnlp-main.313,2020,EMNLP,1,1,8.0,1000.0
2020.emnlp-main.314,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.316,2020,EMNLP,2,1,2.0,11.34
2020.emnlp-main.32,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.327,2020,EMNLP,3,2,3.0,19.05
2020.emnlp-main.334,2020,EMNLP,2,1,2.0,112.0
2020.emnlp-main.336,2020,EMNLP,1,1,2.0,38.1
2020.emnlp-main.339,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.34,2020,EMNLP,1,1,1.0,19.05
2020.emnlp-main.343,2020,EMNLP,1,1,2.0,224.0
2020.emnlp-main.347,2020,EMNLP,1,1,1.0,8.873
2020.emnlp-main.348,2020,EMNLP,2,1,2.0,12.15
2020.emnlp-main.352,2020,EMNLP,1,1,1.0,6.832
2020.emnlp-main.353,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.358,2020,EMNLP,2,1,9.0,90.72
2020.emnlp-main.359,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.365,2020,EMNLP,1,1,16.0,1792.0
2020.emnlp-main.366,2020,EMNLP,2,1,2.0,112.0
2020.emnlp-main.370,2020,EMNLP,1,1,8.0,896.0
2020.emnlp-main.371,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.372,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.377,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.378,2020,EMNLP,1,1,8.0,1000.0
2020.emnlp-main.38,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.389,2020,EMNLP,4,3,4.0,32.62
2020.emnlp-main.39,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.390,2020,EMNLP,1,1,8.0,4992.0
2020.emnlp-main.392,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.398,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.399,2020,EMNLP,2,1,2.0,12.15
2020.emnlp-main.40,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.400,2020,EMNLP,1,1,8.0,4992.0
2020.emnlp-main.402,2020,EMNLP,1,1,1.0,624.0
2020.emnlp-main.403,2020,EMNLP,1,1,4.0,76.2
2020.emnlp-main.404,2020,EMNLP,1,1,4.0,26.764
2020.emnlp-main.407,2020,EMNLP,2,2,2.0,12.15
2020.emnlp-main.409,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.41,2020,EMNLP,1,1,2.0,224.0
2020.emnlp-main.410,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.411,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.412,2020,EMNLP,1,1,4.0,2496.0
2020.emnlp-main.413,2020,EMNLP,1,1,1.0,19.05
2020.emnlp-main.414,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.415,2020,EMNLP,1,1,8.0,309.6
2020.emnlp-main.419,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.423,2020,EMNLP,1,1,4.0,45.36
2020.emnlp-main.426,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.43,2020,EMNLP,1,1,1.0,112.0
2020.emnlp-main.434,2020,EMNLP,1,1,2.0,224.0
2020.emnlp-main.439,2020,EMNLP,1,1,8.0,4992.0
2020.emnlp-main.444,2020,EMNLP,1,1,4.0,448.0
2020.emnlp-main.445,2020,EMNLP,1,1,1.0,8.126
2020.emnlp-main.448,2020,EMNLP,1,1,1.0,11.76
2020.emnlp-main.45,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.450,2020,EMNLP,1,1,1.0,11.34
2020.emnlp-main.453,2020,EMNLP,1,1,1.0,19.05
2020.emnlp-main.455,2020,EMNLP,1,1,8.0,896.0
2020.emnlp-main.46,2020,EMNLP,1,1,1.0,6.691
2020.emnlp-main.462,2020,EMNLP,3,2,4.0,224.0
