year,venue,gpu_papers,papers_with_reported_peak_tflops,coverage_pct
2020,ACL,97,67,69.0721649484536
2020,EMNLP,364,263,72.25274725274726
2021,ACL,244,165,67.62295081967213
2021,EMNLP,402,266,66.16915422885572
2021,NAACL,95,73,76.84210526315789
2022,ACL,264,187,70.83333333333334
2022,EMNLP,502,378,75.2988047808765
2022,NAACL,110,89,80.9090909090909
2023,ACL,585,463,79.14529914529915
2023,EMNLP,493,396,80.32454361054768
2024,ACL,500,427,85.39999999999999
2024,EMNLP,768,595,77.47395833333334
2024,NAACL,172,134,77.90697674418605
2025,ACL,986,871,88.3367139959432
2025,EMNLP,1059,911,86.02455146364495
2025,NAACL,259,220,84.94208494208493
