level,metric,detail,value,numerator,denominator,method
Country,Top-1 share of reported GPU capacity,CN,0.28132505238128735,6017654.45,21390396.6215,Full-count paper-country capacity; HK/TW folded into CN.
Country,Top-5 share of reported GPU capacity,"CN, US, ES, KR, GB",0.8277066320595621,17704973.146,21390396.6215,Full-count paper-country capacity; HK/TW folded into CN.
Country,HHI of reported GPU capacity,,0.19549670788769447,,,Sum of squared country capacity shares.
Country,Gini of reported GPU capacity,,0.9165306640267454,,,Gini across country-level reported capacity totals.
Region,Share of high-compute tail,East Asia and Pacific,0.47828074988568814,1046.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Region,Share of high-compute tail,North America,0.36579789666209417,800.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Region,Share of high-compute tail,Europe and Central Asia,0.11522633744855967,252.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Region,Share of high-compute tail,Middle East and North Africa,0.02423411065386374,53.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Region,Share of high-compute tail,South Asia,0.012802926383173296,28.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Region,Share of high-compute tail,Sub-Saharan Africa,0.0027434842249657062,6.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Region,Share of high-compute tail,Latin America and Caribbean,0.0009144947416552355,2.0,2187.0,Full-count paper-region rows among yearly top-20% high-compute papers.
Organization type,Company high-compute share,,0.5796511627906977,997.0,1720.0,Paper-level share among yearly top-20% high-compute papers. Papers with at least one company.
Organization type,Academia-only high-compute share,,0.40988372093023256,705.0,1720.0,Paper-level share among yearly top-20% high-compute papers. Papers with education participation and without company participation.
Organization type,Industry-academia high-compute share,,0.4761627906976744,819.0,1720.0,Paper-level share among yearly top-20% high-compute papers. Papers with both company and education participation.
Topic,Top-5 topic share of high-compute papers,"Multimodality and Language Grounding to Vision, Robotics and Beyond; Language Modeling; Efficient Methods for NLP; Multilingualism and Cross-Lingual NLP; Dialogue and Interactive Systems",0.39069767441860465,672.0,1720.0,Paper-level topics among yearly top-20% high-compute papers.
