topic,topic_short,papers,years_covered,median_tflops,q25_tflops,q75_tflops,p90_tflops,p95_tflops,max_tflops,mean_tflops,median_year_normalized_ratio,p90_year_normalized_ratio,top10_papers,mean_topic_confidence,review_flagged_papers,iqr_tflops,top10_share_pct,median_rank,top10_share_rank
LLM agents,LLM agents,144,6,1480.0,377.75,2496.0,2496.0,4744.499999999991,14976.0,1892.2201388888889,3.7818181818181817,7.5636363636363635,68,0.8829861111111111,1,2118.25,47.22222222222222,1,1
NLP and Code Models,Code models,155,6,896.0,312.0,2496.0,4889.5999999999985,6238.799999999989,19968.0,1918.2122645161292,2.0,8.077142857142857,56,0.8883870967741935,0,2184.0,36.12903225806451,2,2
Human-Centered NLP and Human-AI Interaction,Human-centered NLP,67,5,624.0,249.6,2144.0,2496.0,3519.3999999999937,12096.0,1275.0930746268657,1.0160714285714285,7.5636363636363635,18,0.862686567164179,0,1894.4,26.865671641791046,3,6
Information Retrieval and Text Mining,IR/text mining,210,6,476.4,224.9,2496.0,2496.0,3584.0,12096.0,1304.8011523809525,1.7883664228491813,11.517032967032966,61,0.8866666666666666,0,2271.1,29.04761904761905,4,3
Resources and Evaluation,Resources/evaluation,88,6,462.2,311.95,2496.0,2496.0,2839.1999999999953,19968.0,1304.4493181818182,1.0825892857142856,7.5636363636363635,24,0.8818181818181817,0,2184.05,27.27272727272727,5,4
Language Modeling,Language modeling,440,6,455.2,293.0,2496.0,2496.0,6048.0,19968.0,1493.1234022727274,1.1663072344322343,8.050909090909103,120,0.8885227272727273,0,2203.0,27.27272727272727,6,4
"Multimodality and Language Grounding to Vision, Robotics and Beyond",Multimodality,547,6,448.0,149.7,1792.0,2496.0,4992.0,19968.0,1358.844979890311,1.1651785714285714,9.563218390804598,136,0.8949725776965265,0,1642.3,24.862888482632542,7,8
Machine Translation,Machine translation,275,6,448.0,112.0,896.0,2496.0,3632.000000000002,19968.0,1017.3940363636364,1.435897435897436,9.692307692307692,55,0.8978181818181818,0,784.0,20.0,7,13
"Speech Recognition, Text-to-Speech and Spoken Language Understanding",Speech/spoken language,116,6,448.0,224.0,1438.0,4992.0,9984.0,19968.0,2015.352405172414,1.435897435897436,16.0,27,0.9,0,1214.0,23.275862068965516,7,10
Efficient Methods for NLP,Efficient methods,544,6,312.0,222.2,1256.0,2496.0,6048.0,19968.0,1352.451568014706,1.0,8.0,117,0.8984375,0,1033.8,21.50735294117647,10,12
Generation,Generation,396,6,312.0,113.8,1248.0,2496.0,2532.0,19968.0,964.3432676767677,1.0,7.5636363636363635,71,0.8968434343434343,0,1134.2,17.929292929292927,10,16
Interpretability and Analysis of Models for NLP,Interpretability,325,6,312.0,112.0,756.0,2496.0,2496.0,19968.0,759.20818,0.9454545454545454,4.03857142857143,45,0.8907692307692308,0,644.0,13.846153846153847,10,21
Multilingualism and Cross-Lingual NLP,Multilingual NLP,315,6,312.0,113.8,1248.0,2496.0,6048.0,19968.0,1272.1277412698412,1.018181818181818,8.0,70,0.8992063492063492,0,1134.2,22.22222222222222,10,11
"Ethics, Bias, and Fairness",Ethics/bias/fairness,297,6,312.0,125.0,1248.0,2496.0,2496.0,19968.0,1013.6500202020202,0.9454545454545454,7.5636363636363635,54,0.8939393939393939,2,1123.0,18.181818181818183,10,14
NLP and Symbolic Reasoning,Symbolic reasoning,264,6,312.0,113.8,2494.8,2496.0,5889.599999999994,9984.0,1274.9999469696968,1.0,7.876923076923084,66,0.8804924242424242,0,2381.0,25.0,10,7
Question Answering,Question answering,236,6,312.0,113.35,1248.0,2496.0,2496.0,15824.0,1006.6788474576272,1.435897435897436,9.245894909688014,55,0.8983050847457628,0,1134.65,23.30508474576271,10,9
NLP Applications,NLP applications,229,6,312.0,125.0,1248.0,2496.0,2496.0,9984.0,855.293327510917,1.0,7.005447579240695,37,0.8768558951965065,0,1123.0,16.157205240174672,10,18
Clinical and Biomedical Applications,Clinical/biomedical,127,6,312.0,116.44999999999999,1248.0,2496.0,4222.3999999999805,14336.0,1035.6412362204726,1.0,4.312643678160924,23,0.8968503937007875,0,1131.55,18.11023622047244,10,15
Machine Learning for NLP,ML for NLP,293,6,311.8,112.0,595.5,2496.0,2553.5999999999967,9984.0,766.569276450512,1.0,6.641438255231372,45,0.8916382252559727,0,483.5,15.358361774744028,19,19
"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",Linguistic theory,59,6,299.4,116.44999999999999,330.0,1011.8400000000008,1933.3199999999963,2496.0,434.0598305084746,0.5128205128205128,3.825454545454546,4,0.871186440677966,0,213.55,6.779661016949152,20,26
Dialogue and Interactive Systems,Dialogue systems,395,6,284.0,112.0,896.0,2496.0,2496.0,19968.0,825.7725949367089,1.0,8.0,66,0.8907594936708861,1,784.0,16.70886075949367,21,17
Summarization,Summarization,209,6,284.0,112.0,624.0,1792.0,2496.0,6048.0,565.173980861244,1.0,7.353646812957162,25,0.90311004784689,0,512.0,11.961722488038278,21,22
Computational Social Science and Cultural Analytics,Computational social sci.,270,6,222.2,112.0,566.0,2206.7999999999997,2496.0,6048.0,560.3975407407407,0.7218181818181818,4.0,26,0.8861111111111111,0,454.0,9.62962962962963,23,23
Semantics: Lexical and Sentence-Level,Semantics,122,6,149.7,110.5,591.0999999999999,1242.9600000000003,2464.799999999993,3024.0,455.0036967213115,0.9454545454545454,4.820389036251107,10,0.8930327868852459,0,480.5999999999999,8.19672131147541,24,24
"Phonology, Morphology, and Word Segmentation",Phonology/morphology,48,6,145.85,107.0,417.0,2496.0,2839.1999999999994,19968.0,925.4342083333332,0.5336538461538461,7.075221177290146,7,0.890625,0,310.0,14.583333333333334,25,20
Information Extraction,Information extraction,386,6,119.1,110.0,312.0,952.8,2469.6,7168.0,402.1771981865285,0.9126436781609195,4.0,30,0.8904145077720207,0,202.0,7.772020725388601,26,25
"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Sentiment/argument,145,6,119.1,110.0,312.0,1129.9199999999983,2496.0,19968.0,530.4087275862069,0.8582375478927203,3.8055844155844154,9,0.8937931034482758,0,202.0,6.206896551724138,26,28
Discourse and Pragmatics,Discourse/pragmatics,75,6,119.1,89.2,330.0,932.0000000000005,1807.199999999997,3958.0,406.6304666666667,0.9454545454545454,2.6406593406593437,5,0.8933333333333333,0,240.8,6.666666666666667,26,27
"Syntax: Tagging, Chunking and Parsing",Syntax/parsing,61,6,112.0,71.0,130.5,568.0,952.8,2496.0,238.28827868852457,0.6339285714285714,2.032142857142857,3,0.9016393442622951,0,59.5,4.918032786885246,29,29
