outcome_model,model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x
Strict raw GPU OLS: log1p citations,ols_1,1,log1p_cites ~ log10_max_compute + C(year_venue),Year x Venue FE,log1p_cites,ols,log10_max_compute,group,HC3,2194,10.0,0.21038558957950543,0.047430524228921245,9.179142968231725e-06,0.11742347032296536,0.3033477088360455,0.1535009518555659,0.14962326496530287,2.3537808184700504,0.23415384508412562,
Strict raw GPU OLS: log1p citations,ols_2,2,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,log1p_cites,ols,log10_max_compute,group,HC3,2194,38.0,0.21304820719079082,0.04819345511395668,9.838734783550836e-06,0.11859077087688803,0.3075056435046936,0.19639035864702503,0.1822199798203833,2.3537808184700504,0.2374443035193876,
Strict raw GPU OLS: log1p citations,ols_3,3,log1p_cites ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,log1p_cites,ols,log10_max_compute,group,HC3,2194,12.0,0.16525715509236408,0.04798326267172972,0.0005730520757479728,0.07121168839504866,0.2593026217896795,0.17013854656440908,0.16557259633917887,2.3537808184700504,0.17969644465700063,
Strict raw GPU OLS: log1p citations,ols_4,4,log1p_cites ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,log1p_cites,ols,log10_max_compute,group,HC3,2194,12.0,0.20139150945004525,0.04776741277860153,2.485792447856597e-05,0.1077691007693279,0.2950139181307626,0.1589399339985743,0.15431236829842887,2.3537808184700504,0.22310353468933308,
Strict raw GPU OLS: log1p citations,ols_5,5,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,log1p_cites,ols,log10_max_compute,group,HC3,2194,40.0,0.17127803445090334,0.04896750721612035,0.00046913118122283775,0.07530348389460224,0.26725258500720445,0.21028481414223787,0.19561291101436495,2.3537808184700504,0.18682068018960796,
Strict raw GPU OLS: log1p citations,ols_6,6,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,log1p_cites,ols,log10_max_compute,group,HC3,2194,40.0,0.205360203387348,0.048449639563650115,2.2488571934793493e-05,0.11040065477864688,0.3003197519960491,0.20140282260479303,0.18656590337775714,2.3537808184700504,0.22796730329272252,
Strict raw GPU OLS: log1p citations,ols_7,7,log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,log1p_cites,ols,log10_max_compute,group,HC3,2194,42.0,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.0755589793473788,0.26817161915366045,0.21192430749050117,0.1965364975949183,2.3537808184700504,0.18751786289393357,
Strict raw GPU PPML: citation count,poisson_1,1,cited_by_count ~ log10_max_compute + C(year_venue),Year x Venue FE,cited_by_count,poisson,log10_max_compute,group,HC0,2194,10.0,0.5068402410692874,0.09399112793105828,6.951256885460977e-08,0.3226210154581164,0.6910594666804584,,,24.30401093892434,0.6600375806687742,
Strict raw GPU PPML: citation count,poisson_2,2,cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,cited_by_count,poisson,log10_max_compute,group,HC0,2194,38.0,0.5104004206165031,0.08019089489997508,1.955219242799551e-10,0.3532291547245153,0.667571686508491,,,24.30401093892434,0.6659581453942673,
Strict raw GPU PPML: citation count,poisson_3,3,cited_by_count ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,cited_by_count,poisson,log10_max_compute,group,HC0,2194,12.0,0.4645897480057488,0.0960358138227131,1.313688254432413e-06,0.2763630116872372,0.6528164843242604,,,24.30401093892434,0.5913611958462412,
