sample,grouping,group,n,history_complete_rate,author_id_complete_rate,institution_id_complete_rate,artifact_rate,main_analysis_eligible
citation_2020_2023,overall,all,2195,0.9462414578587699,0.965375854214123,0.9466970387243736,0.30797266514806376,1
citation_2020_2023,year,2020,224,0.90625,0.9642857142857143,0.9107142857142857,0.38392857142857145,1
citation_2020_2023,year,2021,472,0.961864406779661,0.9639830508474576,0.961864406779661,0.2542372881355932,1
citation_2020_2023,year,2022,648,0.9459876543209876,0.9552469135802469,0.9459876543209876,0.3132716049382716,1
citation_2020_2023,year,2023,851,0.9482961222091657,0.9741480611045829,0.9482961222091657,0.3137485311398355,1
citation_2020_2023,venue,acl,832,0.9591346153846154,0.953125,0.9591346153846154,0.28125,1
citation_2020_2023,venue,emnlp,1218,0.9400656814449918,0.9745484400656814,0.9408866995073891,0.32594417077175697,1
citation_2020_2023,venue,naacl,145,0.9241379310344827,0.9586206896551724,0.9241379310344827,0.3103448275862069,1
citation_2020_2023,compute_quartile,Q1,621,0.9549114331723028,0.964573268921095,0.9565217391304348,0.29790660225442833,1
citation_2020_2023,compute_quartile,Q2,636,0.949685534591195,0.9779874213836478,0.949685534591195,0.2688679245283019,1
citation_2020_2023,compute_quartile,Q3,484,0.9462809917355371,0.9545454545454546,0.9462809917355371,0.32644628099173556,1
citation_2020_2023,compute_quartile,Q4,454,0.9295154185022027,0.960352422907489,0.9295154185022027,0.3568281938325991,1
award_2020_2025,overall,all,5360,0.4962686567164179,0.8722014925373134,0.4968283582089552,0.2871268656716418,0
award_2020_2025,year,2020,224,0.90625,0.9642857142857143,0.9107142857142857,0.38392857142857145,1
award_2020_2025,year,2021,472,0.961864406779661,0.9639830508474576,0.961864406779661,0.2542372881355932,1
award_2020_2025,year,2022,648,0.9459876543209876,0.9552469135802469,0.9459876543209876,0.3132716049382716,1
award_2020_2025,year,2023,851,0.9482961222091657,0.9741480611045829,0.9482961222091657,0.3137485311398355,1
award_2020_2025,year,2024,1160,0.21293103448275863,0.9137931034482759,0.21379310344827587,0.2827586206896552,0
award_2020_2025,year,2025,2005,0.16758104738154614,0.7461346633416459,0.16807980049875312,0.26683291770573564,0
award_2020_2025,venue,acl,2132,0.46716697936210133,0.8714821763602252,0.46716697936210133,0.27439024390243905,0
award_2020_2025,venue,emnlp,2725,0.5236697247706422,0.8656880733944954,0.5247706422018349,0.3038532110091743,0
award_2020_2025,venue,naacl,503,0.4711729622266402,0.9105367793240556,0.4711729622266402,0.2504970178926441,0
award_2020_2025,compute_quartile,Q1,1349,0.7331356560415122,0.938472942920682,0.7338769458858414,0.26241660489251295,0
award_2020_2025,compute_quartile,Q2,1346,0.49925705794947994,0.8781575037147102,0.49925705794947994,0.27414561664190196,0
award_2020_2025,compute_quartile,Q3,1340,0.44776119402985076,0.8522388059701492,0.44850746268656716,0.28955223880597014,0
award_2020_2025,compute_quartile,Q4,1325,0.3011320754716981,0.8188679245283019,0.3018867924528302,0.3230188679245283,0
