outcome_order,outcome,outcome_label,role,family,cov_type,sample,year_window,model_id,model_label,term,term_label,nobs,mean_outcome,positive_count,coef,se,p_raw,p_holm_secondary,ci_low,ci_high,effect_value,effect_ci_low,effect_ci_high,effect_unit,controls_only_r2,full_r2,delta_r2,controls_only_adj_r2,full_adj_r2,controls_only_aic,full_aic,aic_improvement,controls_only_formula,full_formula,sample_id_sha256
1,topic_year_citation_percentile,NLP topic-year percentile,Primary,ols,HC3,strict_raw_2020_2023,2020-2023,capacity_only,Reported max-row GPU capability,log10_max_compute,Capacity,2194,0.5089022878132095,,0.03523010789089265,0.011479673833850136,0.002148399210153901,,0.012730360622279537,0.05772985515950576,3.523010789089265,1.2730360622279537,5.772985515950576,percentage points per 10x,0.08596871540178985,0.09017596707137787,0.004207251669588019,0.06855455059299498,0.0724109231927158,636.5081057194275,628.3858921342908,8.122213585136706,topic_year_citation_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
1,topic_year_citation_percentile,NLP topic-year percentile,Primary,ols,HC3,strict_raw_2020_2023,2020-2023,joint_count_ampere,GPU count + Ampere-or-newer/equivalent,ampere_or_newer,Ampere-or-newer/equivalent,2194,0.5089022878132095,,0.04162658409799705,0.0135480275308292,0.0021225968515778647,,0.015072938076014699,0.0681802301199794,4.162658409799705,1.50729380760147,6.81802301199794,percentage points vs older generation,0.08596871540178985,0.09522645209382152,0.00925773669203167,0.06855455059299498,0.07713098113569794,636.5081057194275,618.1729443504037,18.335161369023808,topic_year_citation_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),topic_year_citation_percentile ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
1,topic_year_citation_percentile,NLP topic-year percentile,Primary,ols,HC3,strict_raw_2020_2023,2020-2023,joint_count_ampere,GPU count + Ampere-or-newer/equivalent,log10_maxrow_gpu_count,Count,2194,0.5089022878132095,,0.045744665495509054,0.013260666142713312,0.0005613124511441226,,0.019754237444781282,0.07173509354623683,4.574466549550905,1.9754237444781282,7.173509354623683,percentage points per 10x,0.08596871540178985,0.09522645209382152,0.00925773669203167,0.06855455059299498,0.07713098113569794,636.5081057194275,618.1729443504037,18.335161369023808,topic_year_citation_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),topic_year_citation_percentile ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
2,citation_normalized_percentile,OpenAlex field-normalized citation percentile,Secondary,ols,HC3,strict_raw_2020_2023,2020-2023,capacity_only,Reported max-row GPU capability,log10_max_compute,Capacity,2194,0.7745557942206016,,0.012579785697517729,0.008759786430596463,0.15097855203433144,0.15097855203433144,-0.004589080218714013,0.02974865161374947,1.257978569751773,-0.4589080218714013,2.974865161374947,percentage points per 10x,0.09109911668246062,0.09202570284453548,0.0009265861620748606,0.07378269650773062,0.07429677654024469,-574.9979899525715,-575.2358214092283,0.23783145665674965,citation_normalized_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),citation_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
2,citation_normalized_percentile,OpenAlex field-normalized citation percentile,Secondary,ols,HC3,strict_raw_2020_2023,2020-2023,joint_count_ampere,GPU count + Ampere-or-newer/equivalent,ampere_or_newer,Ampere-or-newer/equivalent,2194,0.7745557942206016,,0.02016674102403515,0.010512464278876768,0.05506477604937411,0.16519432814812235,-0.00043731035132714424,0.040770792399397446,2.016674102403515,-0.043731035132714424,4.077079239939745,percentage points vs older generation,0.09109911668246062,0.09438173566189056,0.003282618979429941,0.07378269650773062,0.07626937037512838,-574.9979899525715,-578.9362626427601,3.938272690188569,citation_normalized_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),citation_normalized_percentile ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
2,citation_normalized_percentile,OpenAlex field-normalized citation percentile,Secondary,ols,HC3,strict_raw_2020_2023,2020-2023,joint_count_ampere,GPU count + Ampere-or-newer/equivalent,log10_maxrow_gpu_count,Count,2194,0.7745557942206016,,0.01959410285018142,0.010071366014355808,0.051711722530288454,0.051711722530288454,-0.0001454118130766735,0.039333617513439514,1.959410285018142,-0.01454118130766735,3.9333617513439516,percentage points per 10x,0.09109911668246062,0.09438173566189056,0.003282618979429941,0.07378269650773062,0.07626937037512838,-574.9979899525715,-578.9362626427601,3.938272690188569,citation_normalized_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),citation_normalized_percentile ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
3,log1p_cites,Log citations,Secondary,ols,HC3,strict_raw_2020_2023,2020-2023,capacity_only,Reported max-row GPU capability,log10_max_compute,Capacity,2194,2.3537808184700504,,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.001877214592333212,0.0755589793473788,0.26817161915366045,0.18751786289393357,0.07848683429193914,0.3075715250784825,percent per 10x,0.20676705175103183,0.21192430749050117,0.005157255739469346,0.1916543422351361,0.1965364975949183,6832.9720576477375,6820.6610510309465,12.311006616791019,log1p_cites ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_cites ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
3,log1p_cites,Log citations,Secondary,ols,HC3,strict_raw_2020_2023,2020-2023,joint_count_ampere,GPU count + Ampere-or-newer/equivalent,ampere_or_newer,Ampere-or-newer/equivalent,2194,2.3537808184700504,,0.13955834608448844,0.05515245576240807,0.01139291885723178,0.0569645942861589,0.03146151913123006,0.2476551730377468,0.14976588809869518,0.03196166405021361,0.2810181264360001,percent vs older generation,0.20676705175103183,0.21541388330216882,0.008646831551136991,0.1916543422351361,0.19972216096821216,6832.9720576477375,6812.9245115524445,20.047546095293,log1p_cites ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_cites ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
3,log1p_cites,Log citations,Secondary,ols,HC3,strict_raw_2020_2023,2020-2023,joint_count_ampere,GPU count + Ampere-or-newer/equivalent,log10_maxrow_gpu_count,Count,2194,2.3537808184700504,,0.22062778636818814,0.05709958130233208,0.00011158520333705989,0.00044634081334823955,0.10871466348330058,0.33254090925307567,0.24685924617316868,0.11484419919307576,0.3945069462556148,percent per 10x,0.20676705175103183,0.21541388330216882,0.008646831551136991,0.1916543422351361,0.19972216096821216,6832.9720576477375,6812.9245115524445,20.047546095293,log1p_cites ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_cites ~ log10_maxrow_gpu_count + ampere_or_newer + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
4,cited_by_count,PPML citations,Secondary,poisson,HC0,strict_raw_2020_2023,2020-2023,capacity_only,Reported max-row GPU capability,log10_max_compute,Capacity,2194,24.30401093892434,,0.47746124486398567,0.0851569569546863,2.0605660269228208e-08,1.0302830134614104e-07,0.31055667619977284,0.6443658135281984,0.6119767886237464,0.36418431173740107,0.9047786612883431,percent per 10x,,,,,,84407.16769407174,80413.35023284705,3993.817461224695,cited_by_count ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),30f7e7d353bbcb3ffe0879a3c295f59ae6bbcfd06856792830c3cbda7069df6a
