model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x,sample_id,sample_label,sample_note,outcome_label,effect_interpretation,percentile_points_per_10x,ci_low_percentile_points,ci_high_percentile_points,n_topic_year_cells,min_topic_year_cell_n,median_topic_year_cell_n,rows_in_cells_lt10,reference_set
ols_1,1,topic_year_citation_percentile ~ log10_max_compute + C(year_venue),Year x Venue FE,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,10.0,0.043161960620946044,0.010854775462041555,6.999264462865734e-05,0.02188699165507547,0.06443692958681661,0.06365602784373237,0.05936677465016271,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,4.316196062094605,2.188699165507547,6.443692958681662,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_2,2,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,38.0,0.04615797960377385,0.011329983767193814,4.621904004599151e-05,0.02395161947465053,0.06836433973289717,0.06981787645196524,0.053415593066895584,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,4.615797960377385,2.395161947465053,6.836433973289717,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_3,3,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,12.0,0.032202860885420286,0.0109587887099961,0.003297599757481252,0.01072402969964377,0.0536816920711968,0.08133749012020863,0.07628295086364856,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,3.2202860885420286,1.072402969964377,5.3681692071196805,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_4,4,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,12.0,0.041141649800739255,0.010941845589297882,0.00016989409123442168,0.019696026521316964,0.06258727308016154,0.07019010346075505,0.06507423057745787,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,4.114164980073926,1.9696026521316963,6.258727308016154,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_5,5,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,40.0,0.03503295489309392,0.011445357394406695,0.0022068176901277564,0.012600466609867609,0.05746544317632024,0.0880093556710344,0.0710657301377513,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,3.503295489309392,1.2600466609867609,5.746544317632024,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_6,6,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,40.0,0.044217057933956916,0.011391742658766796,0.00010381382207124459,0.021889652601625436,0.06654446326628839,0.0764092756000011,0.05925013534175683,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,4.421705793395692,2.1889652601625436,6.65444632662884,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_7,7,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2194,42.0,0.03523010789089265,0.011479673833850136,0.002148399210153901,0.012730360622279537,0.05772985515950576,0.09017596707137787,0.0724109231927158,0.5089022878132095,,,all_topic_year_cells,All topic-year cells,Primary rebuttal model; keeps all topic-year citation percentiles.,Topic-year citation percentile,percentile points per 10x GPU compute,3.523010789089265,1.2730360622279537,5.772985515950576,114,1,45.0,82,all master-panel papers in same primary_topic x year
ols_1,1,topic_year_citation_percentile ~ log10_max_compute + C(year_venue),Year x Venue FE,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,10.0,0.040346091998127886,0.010995481336830443,0.0002431833185114574,0.01879534458525789,0.061896839410997884,0.06798721134460839,0.06355116760993251,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,4.034609199812788,1.879534458525789,6.189683941099789,87,10,45.0,0,all master-panel papers in same primary_topic x year
ols_2,2,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,34.0,0.043194998541562564,0.011478125444894764,0.00016772271967779208,0.020698286059536043,0.06569171102358909,0.07246113790490305,0.05727754555476661,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,4.319499854156256,2.0698286059536044,6.569171102358909,87,10,45.0,0,all master-panel papers in same primary_topic x year
ols_3,3,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,12.0,0.028540238661222357,0.011108700153137542,0.010193979921475109,0.006767586446018194,0.05031289087642652,0.08673208789072617,0.08151092784055414,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,2.854023866122236,0.6767586446018193,5.031289087642652,87,10,45.0,0,all master-panel papers in same primary_topic x year
ols_4,4,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,12.0,0.03836369102968358,0.011087813934576909,0.0005402016556649449,0.01663197505063149,0.06009540700873567,0.0746711991260035,0.06938108687708133,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,3.836369102968358,1.663197505063149,6.009540700873567,87,10,45.0,0,all master-panel papers in same primary_topic x year
ols_5,5,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,36.0,0.031385712009232125,0.011607874224687181,0.0068545464014486465,0.008634696591774446,0.054136727426689804,0.09127902768901841,0.07551326624169541,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,3.1385712009232125,0.8634696591774447,5.413672742668981,87,10,45.0,0,all master-panel papers in same primary_topic x year
ols_6,6,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,36.0,0.04126596144479415,0.01154520392442353,0.000351173198795253,0.01863777755875354,0.06389414533083476,0.07922739109571264,0.06325254101351785,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,4.126596144479415,1.863777755875354,6.389414533083476,87,10,45.0,0,all master-panel papers in same primary_topic x year
ols_7,7,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,topic_year_citation_percentile,ols,log10_max_compute,group,HC3,2112,38.0,0.03160058556771138,0.01164995790511681,0.006677648858985974,0.008767087652274734,0.05443408348314802,0.09348920885770062,0.076872030824219,0.508659545801147,,,topic_year_cell_n_ge10,Sensitivity: topic-year cell n >= 10,Drops rows whose field-normalization cell has fewer than 10 cited papers.,Topic-year citation percentile,percentile points per 10x GPU compute,3.160058556771138,0.8767087652274734,5.443408348314803,87,10,45.0,0,all master-panel papers in same primary_topic x year
