year,n_papers,n_top_compute_papers,paper_share,top_fraction_target,total_compute,top_compute_total_compute,total_citations,top_compute_total_citations,total_awards,top_compute_total_awards,compute_threshold_min_top20,metric,metric_label,share
2020,461,93,0.2017353579175705,0.2,2.62513056e+17,2.307994e+17,21991.0,6716.0,3.0,1.0,448000000000000.0,compute_share,Reported GPU capacity,0.8791920810216769
2020,461,93,0.2017353579175705,0.2,2.62513056e+17,2.307994e+17,21991.0,6716.0,3.0,1.0,448000000000000.0,citation_share,Citations,0.30539766268018737
2020,461,93,0.2017353579175705,0.2,2.62513056e+17,2.307994e+17,21991.0,6716.0,3.0,1.0,448000000000000.0,award_share,Awards,0.3333333333333333
2021,741,149,0.20107962213225372,0.2,7.08256116e+17,6.365894e+17,21722.0,6518.0,5.0,1.0,448000000000000.0,compute_share,Reported GPU capacity,0.8988124290337932
2021,741,149,0.20107962213225372,0.2,7.08256116e+17,6.365894e+17,21722.0,6518.0,5.0,1.0,448000000000000.0,citation_share,Citations,0.3000644507872203
2021,741,149,0.20107962213225372,0.2,7.08256116e+17,6.365894e+17,21722.0,6518.0,5.0,1.0,448000000000000.0,award_share,Awards,0.2
2022,876,176,0.2009132420091324,0.2,1.004255577e+18,8.598912e+17,20227.0,6423.0,7.0,2.0,896000000000000.0,compute_share,Reported GPU capacity,0.8562473733715695
2022,876,176,0.2009132420091324,0.2,1.004255577e+18,8.598912e+17,20227.0,6423.0,7.0,2.0,896000000000000.0,citation_share,Citations,0.3175458545508479
2022,876,176,0.2009132420091324,0.2,1.004255577e+18,8.598912e+17,20227.0,6423.0,7.0,2.0,896000000000000.0,award_share,Awards,0.2857142857142857
2023,1078,216,0.20037105751391465,0.2,1.331920877e+18,1.1178907e+18,11992.0,3220.0,32.0,10.0,896000000000000.0,compute_share,Reported GPU capacity,0.8393071385125529
2023,1078,216,0.20037105751391465,0.2,1.331920877e+18,1.1178907e+18,11992.0,3220.0,32.0,10.0,896000000000000.0,citation_share,Citations,0.2685123415610407
2023,1078,216,0.20037105751391465,0.2,1.331920877e+18,1.1178907e+18,11992.0,3220.0,32.0,10.0,896000000000000.0,award_share,Awards,0.3125
