outcome_id,outcome,track,track_label,family,cov_type,n,beta,se,p,ci_low,ci_high,r2_without_compute,r2_full,delta_r2,effect_10x,effect_ci_low,effect_ci_high,effect_unit,formula,controls_formula
topic_year_percentile,NLP topic-year citation percentile,main,Main Conference,ols,HC3,2194,0.03523010789089265,0.011479673833850136,0.002148399210153901,0.012730360622279537,0.05772985515950576,0.08596871540178985,0.09017596707137787,0.004207251669588019,3.523010789089265,1.2730360622279537,5.772985515950576,percentage points per 10x,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),topic_year_citation_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
topic_year_percentile,NLP topic-year citation percentile,findings,Findings,ols,HC3,1620,0.045919026628443535,0.013748126179576077,0.0008377213231602096,0.018973194461562176,0.0728648587953249,0.04984738616665829,0.0569161284385179,0.007068742271859607,4.591902662844354,1.8973194461562177,7.286485879532489,percentage points per 10x,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),topic_year_citation_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
topic_year_percentile,NLP topic-year citation percentile,pooled,Main + Findings,ols,HC3,3814,0.03895187354284886,0.008665144555921019,6.9492686226380526e-06,0.021968502292410343,0.055935244793287375,0.08975175216458053,0.09488536774330736,0.0051336155787268245,3.8951873542848863,2.196850229241034,5.593524479328737,percentage points per 10x,topic_year_citation_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),topic_year_citation_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
openalex_percentile,OpenAlex field-normalized percentile,main,Main Conference,ols,HC3,2194,0.012579785697517729,0.008759786430596463,0.15097855203433144,-0.004589080218714013,0.02974865161374947,0.09109911668246062,0.09202570284453548,0.0009265861620748606,1.257978569751773,-0.4589080218714013,2.974865161374947,percentage points per 10x,openalex_field_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),openalex_field_normalized_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
openalex_percentile,OpenAlex field-normalized percentile,findings,Findings,ols,HC3,1620,0.04007933452671767,0.011034502700085231,0.0002810335644978498,0.018452106647240635,0.06170656240619471,0.09767962715698841,0.10500043913953272,0.007320811982544306,4.007933452671767,1.8452106647240636,6.170656240619471,percentage points per 10x,openalex_field_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),openalex_field_normalized_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
openalex_percentile,OpenAlex field-normalized percentile,pooled,Main + Findings,ols,HC3,3814,0.02383817215298973,0.006848502374229112,0.0004999444951357072,0.010415354151463618,0.03726099015451584,0.11220247205655709,0.11510062600443571,0.0028981539478786233,2.383817215298973,1.0415354151463618,3.7260990154515836,percentage points per 10x,openalex_field_normalized_percentile ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),openalex_field_normalized_percentile ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
log_citations,log(1+citations),main,Main Conference,ols,HC3,2194,0.17186529925051963,0.04913678040147309,0.000469303648083303,0.0755589793473788,0.26817161915366045,0.20676705175103183,0.21192430749050117,0.005157255739469346,0.18751786289393357,0.07848683429193914,0.3075715250784825,percent per 10x,log1p_citations ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_citations ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
log_citations,log(1+citations),findings,Findings,ols,HC3,1620,0.2071493120896385,0.054450051403079805,0.0001421532094513003,0.10042917238324744,0.31386945179602954,0.19263468658528893,0.2009660470266169,0.008331360441327984,0.23016623676012404,0.10564532870714283,0.3687110421152082,percent per 10x,log1p_citations ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_citations ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
log_citations,log(1+citations),pooled,Main + Findings,ols,HC3,3814,0.1854416461627939,0.03619025455732653,2.9899899577371285e-07,0.11451005063909735,0.25637324168649045,0.22410449792501264,0.23017942706710814,0.006074929142095509,0.2037499542967378,0.12132391102926832,0.2922349538942248,percent per 10x,log1p_citations ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),log1p_citations ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
citation_count_ppml,"Citation count, PPML",main,Main Conference,poisson,HC0,2194,0.47746124486398567,0.0851569569546863,2.0605660269228208e-08,0.31055667619977284,0.6443658135281984,,,,0.6119767886237464,0.36418431173740107,0.9047786612883431,percent per 10x,cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),cited_by_count ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
citation_count_ppml,"Citation count, PPML",findings,Findings,poisson,HC0,1620,0.3899306352283056,0.09025173877666934,1.5569170851917926e-05,0.21304047768391668,0.5668207927726946,,,,0.47687834700022136,0.23743473872210275,0.7626542908360541,percent per 10x,cited_by_count ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),cited_by_count ~ C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group)
